,p_nom,carrier,bus,efficiency,capital_cost,marginal_cost,build_year,lifetime
PLTD_Talisayan_Pemkab,0.8,Oil,59,0.25,1.2,3,1999,25
PLTD_Talisayan_PT_IPB,1,Oil,59,0.25,1.2,3,2013,25
PLTD_Tanah_Grogot,3.19,Oil,41,0.25,1.2,3,1996,25
PLTD_Tanah_Merah,0.43,Oil,61,0.25,1.2,3,1994,25
PLTD_Tanjung_Aru,0.4,Oil,42,0.25,1.2,3,2002,25
PLTD_Tanjung_Batu,1,Oil,22,0.25,1.2,3,1983,25
PLTD_Tanjung_Batu,1.43,Oil,32,0.25,1.2,3,2000,25
PLTD_Tanjung_Isuy,1.88,Oil,40,0.25,1.2,3,1994,25
PLTD_Tanjung_Jawa,0.22,Oil,21,0.25,1.2,3,1993,25
PLTD_Tanjung_Saleh,0.77,Oil,5,0.25,1.2,3,1999,25
PLTD_Tanjung_Samalantakan,0.49,Oil,35,0.25,1.2,3,1990,25
PLTD_Tanjung_Satai,1.084,Oil,9,0.25,1.2,3,1996,25
PLTD_Tanjung_Seloka,1.75,Oil,25,0.25,1.2,3,1996,25
PLTD_Tapin_Bini,11.65,Oil,13,0.25,1.2,3,1994,25
PLTD_Tarakan,15.264,Oil,60,0.25,1.2,3,2010,25
PLTD_Tebidah,0.36,Oil,10,0.25,1.2,3,1997,25
PLTD_Telaga_Pulang,0.45,Oil,15,0.25,1.2,3,1987,25
PLTD_Teluk_Betung,0.26,Oil,21,0.25,1.2,3,1993,25
PLTD_Teluk_Melano,7.98,Oil,9,0.25,1.2,3,2010,25
PLTD_Temajuk,0.75,Oil,11,0.25,1.2,3,2015,25
PLTD_Tepuai,3.99,Oil,10,0.25,1.2,3,1994,25
PLTD_Teraju,0.368,Oil,9,0.25,1.2,3,1989,25
PLTD_Timpah,1.108,Oil,21,0.25,1.2,3,1993,25
PLTD_Tontang,0.216,Oil,9,0.25,1.2,3,1989,25
PLTD_Trisakti,54.2,Oil,23,0.25,1.2,3,1983,25
PLTD_Tubaan,0.455,Oil,59,0.25,1.2,3,1987,25
PLTD_Tulin_Onsoi,1,Oil,61,0.25,1.2,3,2015,25
PLTD_Tumbang_Lahung,0.38,Oil,19,0.25,1.2,3,1993,25
PLTD_Tumbang_Manjul,0.498,Oil,13,0.25,1.2,3,1994,25
PLTD_Tumbang_Titi,1.35,Oil,9,0.25,1.2,3,2003,25
PLTD_Tumpung_Laung,1.04,Oil,21,0.25,1.2,3,1981,25
PLTD_Ujung_Said,0.496,Oil,10,0.25,1.2,3,1984,25
PLTD_Ulak_Medang,0.04,Oil,9,0.25,1.2,3,1994,25
PLTD_Ulak_Pauk,0.238,Oil,10,0.25,1.2,3,1997,25
PLTD_ULD_Benua_Riam,0.18,Oil,31,0.25,1.2,3,1995,25
PLTD_ULD_Rantau_Bujur,0.42,Oil,31,0.25,1.2,3,1992,25
PLTD_ULD_Telaga,0.12,Oil,17,0.25,1.2,3,1990,25
PLTD_ULD_Tewah,1.584,Oil,14,0.25,1.2,3,1999,25
PLTD_ULD_Tumbang_Hiran,0.56,Oil,14,0.25,1.2,3,1983,25
PLTD_ULD_Tumbang_Jutuh,2.1,Oil,16,0.25,1.2,3,1994,25
PLTD_ULD_Tumbang_Kaman,1.22,Oil,16,0.25,1.2,3,1992,25
PLTD_ULD_Tumbang_Miri,1.06,Oil,16,0.25,1.2,3,1985,25
PLTD_ULD_Tumbang_Miwan,0.616,Oil,16,0.25,1.2,3,1992,25
PLTD_ULD_Tumbang_Senamang,0.46,Oil,14,0.25,1.2,3,1995,25
PLTD_ULD_Tumbang_Talaken,1,Oil,16,0.25,1.2,3,1994,25
PLTD_ULD_Tumbang_Tambirah,0.16,Oil,16,0.25,1.2,3,1994,25
PLTD_UPM_Parenggean,2.5,Oil,14,0.25,1.2,3,2016,25
PLTG_Peaking_#01,70,Oil,51,0.25,1.2,3,2014,25
PLTG_Peaking_#02,70,Oil,51,0.25,1.2,3,2014,25
PLTG_Sambera_#01,20,Oil,57,0.25,1.2,3,2009,25
PLTG_Sambera_#02,20,Oil,57,0.25,1.2,3,2009,25
PLTG_Siantan,34,Oil,7,0.25,1.2,3,1997,25
PLTG_Trisakti,21,Oil,23,0.25,1.2,3,1985,25
PLTGU_Tanjung_Batu_#01,20,Oil,52,0.25,1.2,3,1997,25
PLTGU_Tanjung_Batu_#02,20,Oil,52,0.25,1.2,3,1997,25
PLTGU_Tanjung_Batu_#03,20,Oil,52,0.25,1.2,3,1998,25
PLTMG_MPP_PLN_Batam_(MPP_Pontianak),100,Oil,5,0.25,1.2,3,2017,25
PLTS_Derawan,0.09,Oil,59,0.25,1.2,3,1983,25
PLTA_IR._PM_Noor,30,Hydro,24,0.33,1.9,0.37,1973,80
PLTA_SESCO_275,90,Hydro,10,0.33,1.9,0.37,2016,80
PLTMH_Batu_Menang,0.1,Hydro,9,0.33,1.9,0.37,2007,80
PLTMH_Bora,0.2,Hydro,9,0.33,1.9,0.37,2010,80
PLTMH_Krayan,0.16,Hydro,61,0.33,1.9,0.37,2015,80
PLTMH_Krayan_Pemkab,0.08,Hydro,61,0.33,1.9,0.37,2015,80
PLTMH_Merasap,1.5,Hydro,11,0.33,1.9,0.37,2010,80
PLTMH_Sajingan,0.225,Hydro,11,0.33,1.9,0.37,2006,80
PLTMH_Serawak_Energi_BHD_Badau_(B),0.32,Hydro,12,0.33,1.9,0.37,2010,80
PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),1.12,Hydro,12,0.33,1.9,0.37,2010,80
PLTMH_Serawak_Energi_BHD_Sajingan_(B),0.8,Hydro,12,0.33,1.9,0.37,2010,80
PLTS_Kayan_Hulu_ESDM,0.1,Solar,60,1,0.95,0,2010,25
PLTS_Lumbis_Ogong_ESDM,0.1,Solar,61,1,0.95,0,2016,25
PLTS_Pulau_Limbung,0.06,Solar,9,1,0.95,0,2010,25
PLTS_Sebatik,0.34,Solar,61,1,0.95,0,1983,25
PLTS_Sebatik_ESDM,0.2,Solar,61,1,0.95,0,2015,25
PLTS_Sebuku_ESDM,0.1,Solar,61,1,0.95,0,2016,25
PLTS_Seimenggaris_ESDM,0.1,Solar,61,1,0.95,0,2015,25
PLTS_Sidding,0.04,Solar,10,1,0.95,0,2013,25
PLTS_Temajuk,0.08,Solar,11,1,0.95,0,2012,25
PLTS_Tulin_Onsoi_ESDM,0.1,Solar,61,1,0.95,0,2016,25
