bus,p_set
1,178.290775
1,172.2071
1,166.5662917
1,161.32935
1,156.6524917
1,153.8256417
1,153.5911
1,150.3473833
1,144.8367917
1,149.6047583
1,155.9620833
1,159.4273417
1,159.7138833
1,158.3330667
1,160.2089667
1,161.0297
1,163.074925
1,163.6221167
1,162.5668417
1,170.7740667
1,182.628875
1,180.64865
1,175.6853583
1,171.5165833
1,166.5531833
1,161.3032417
1,155.0762417
1,150.607925
1,147.1296667
1,146.2437167
1,146.7126917
1,148.0806167
1,148.6929167
1,160.7691583
1,169.888225
1,176.1803333
1,173.939675
1,169.2498167
1,172.0506667
1,172.1158833
1,172.3113167
1,170.5916333
1,171.29515
1,178.5643167
1,186.7584333
1,183.0457417
1,176.7666333
1,170.4353083
1,165.224475
1,158.385175
1,152.7052583
1,150.15195
1,147.4423167
1,145.2927667
1,145.0713333
1,145.0973333
1,142.8045667
1,148.432375
1,156.0011917
1,160.0265333
1,159.47945
1,156.860925
1,157.5774417
1,157.7467667
1,157.6686583
1,155.6754333
1,156.99125
1,165.9931
1,175.5941417
1,172.8062917
1,167.0352667
1,161.199025
1,155.1022417
1,149.0185667
1,143.8728417
1,140.6420167
1,137.6718417
1,137.72395
1,142.231375
1,149.24
1,159.4403417
1,180.5444333
1,190.4712333
1,195.4867417
1,194.0928167
1,191.5004
1,196.4246917
1,199.6815167
1,200.4370333
1,196.8285583
1,188.07425
1,190.1845833
1,197.9879417
1,193.9234917
1,184.9346417
1,179.528375
1,171.125825
1,164.1432
1,158.6717167
1,155.0892417
1,152.9006917
1,151.2853333
1,153.6432083
1,157.9292
1,164.7685
1,186.9147583
1,197.1542083
1,204.6449167
1,203.772075
1,200.52825
1,207.2894417
1,211.8228667
1,212.4221667
1,208.3706083
1,197.258425
1,196.81545
1,205.9085167
1,201.0884417
1,192.907325
1,187.47495
1,176.8187417
1,170.539525
1,165.4589083
1,160.5216167
1,157.9422
1,156.0271917
1,158.0464167
1,161.9415417
1,170.513525
1,191.0965333
1,199.1734333
1,204.9184583
1,201.609525
1,196.9848833
1,200.997225
1,203.2899917
1,203.62875
1,199.5120833
1,189.793825
1,191.7218333
1,202.2999333
1,198.0791583
1,189.5592833
1,182.47255
1,173.15805
1,166.0321
1,161.3162417
1,156.97825
1,153.90375
1,152.822475
1,155.441
1,159.935425
1,167.5172417
1,187.0971917
1,197.2193167
1,202.547475
1,201.79185
1,197.5971833
1,202.3390417
1,206.5338167
1,205.8173
1,203.9544
1,194.91355
1,194.170925
1,205.647975
1,200.2807083
1,192.1648083
1,186.4588917
1,176.89685
1,170.7349583
1,164.4297417
1,160.3652917
1,158.3460667
1,155.8187583
1,156.7567083
1,160.5346167
1,166.7486167
1,186.4327833
1,195.9036083
1,201.4923083
1,202.7429083
1,198.6132417
1,202.7950167
1,207.8886333
1,208.3837167
1,205.7391917
1,194.5487917
1,194.2491417
1,205.7521917
1,201.12755
1,193.4545167
1,188.3347917
1,179.9712417
1,173.6921333
1,166.6965083
1,161.824325
1,158.6196083
1,156.6786
1,156.9521417
1,156.5743833
1,156.1184083
1,171.0346083
1,181.5214917
1,187.5661667
1,185.6511583
1,181.4693833
1,183.7752583
1,185.4948333
1,185.6902667
1,184.218125
1,181.23495
1,186.042025
1,197.1021
1,194.8483333
1,187.48795
1,181.9644667
1,175.4638167
1,168.650625
1,162.9056
1,155.77965
1,151.9106333
1,148.4192667
1,151.9627417
1,150.8814667
1,146.0222833
1,152.8745833
1,160.560725
1,166.8398333
1,165.6022333
1,165.875775
1,168.363975
1,168.337975
1,168.8590583
1,166.7356167
1,165.6283417
1,173.3534833
1,187.005975
1,185.429725
1,179.6585917
1,177.4830417
1,168.7418417
1,162.3194083
1,156.6134917
1,151.3504417
1,149.6568667
1,148.0936167
1,150.8293583
1,156.535275
1,165.2765833
1,187.7616
1,197.3105333
1,204.9184583
1,203.5505333
1,200.4501417
1,205.9345167
1,209.8036417
1,211.0282417
1,207.34155
1,195.994825
1,195.0437667
1,206.3383833
1,203.4333167
1,195.52585
1,191.0835333
1,183.0326333
1,173.7442417
1,169.275925
1,164.012875
1,160.6258333
1,159.50545
1,160.3522917
1,164.299525
1,171.1909333
1,189.8589333
1,199.3818667
1,204.8272417
1,203.64175
1,199.5511917
1,205.5567583
1,209.1913417
1,211.562325
1,208.3446083
1,194.3403583
1,194.3793583
1,204.5928083
1,202.0785
1,192.308025
1,189.2466333
1,181.9514667
1,173.2361583
1,168.1555417
1,163.1140333
1,157.785875
1,156.4961667
1,158.9192583
1,160.3261833
1,166.3578583
1,186.0289167
1,194.3403583
1,199.2125417
1,197.9619417
1,194.32725
1,199.420975
1,202.3260417
1,202.7689083
1,199.134325
1,187.46195
1,189.8850417
1,200.0983833
1,196.0990417
1,189.6896083
1,185.1821833
1,178.0302333
1,171.32115
1,164.5339583
1,160.7821583
1,157.2647917
1,155.896975
1,156.39195
1,159.8312083
1,165.4459083
1,183.09785
1,190.9272083
1,196.932775
1,195.8385
1,194.0928167
1,200.2156
1,203.3421
1,204.2019417
1,200.1634917
1,190.0803667
1,191.5134
1,200.3328167
1,196.0469333
1,191.6046167
1,188.1263583
1,179.8801333
1,172.3503167
1,165.4720167
1,160.6909417
1,158.1376333
1,156.0011917
1,155.76665
1,158.8280417
1,164.325525
1,181.3000583
1,189.5983917
1,193.66295
1,193.1157583
1,190.093475
1,196.6722333
1,202.7429083
1,203.9284
1,201.8700667
1,191.643725
1,191.20075
1,201.8830667
1,198.0791583
1,192.907325
1,189.194525
1,182.5506583
1,173.2492667
1,167.2305917
1,164.2734167
1,161.34235
