bus,name,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime
10,PLTD_Piasak,0.222,Oil,0.25,1.2,3,1996,25
10,PLTD_Sawai,12.485,Oil,0.25,1.2,3,2010,25
10,PLTD_Semboja,6,Oil,0.25,1.2,3,1996,25
10,PLTD_Senaning,0.488,Oil,0.25,1.2,3,1987,25
10,PLTD_Sinar_Pekayau,0.505,Oil,0.25,1.2,3,1997,25
10,PLTD_Tebidah,0.36,Oil,0.25,1.2,3,1997,25
10,PLTD_Tepuai,3.99,Oil,0.25,1.2,3,1994,25
10,PLTD_Ujung_Said,0.496,Oil,0.25,1.2,3,1984,25
10,PLTD_Ulak_Pauk,0.238,Oil,0.25,1.2,3,1997,25
10,PLTA_SESCO_275,90,Hydro,0.33,1.9,0.37,2016,80
10,PLTS_Sidding,0.04,Solar,1,0.95,0,2013,25
11,PLTU_Parit_Baru_Site_Bengkayang_#01,55,Coal,0.34,1.65,0.13,2018,40
11,PLTU_Parit_Baru_Site_Bengkayang_#02,55,Coal,0.34,1.65,0.13,2019,40
11,PLTD_Batu_Ampar_1,0.576,Oil,0.25,1.2,3,1998,25
11,PLTD_Bengkayang,0.5,Oil,0.25,1.2,3,2003,25
11,PLTD_Ngabang,1.72,Oil,0.25,1.2,3,2010,25
11,PLTD_Temajuk,0.75,Oil,0.25,1.2,3,2015,25
11,PLTMH_Merasap,1.5,Hydro,0.33,1.9,0.37,2010,80
11,PLTMH_Sajingan,0.225,Hydro,0.33,1.9,0.37,2006,80
11,PLTS_Temajuk,0.08,Solar,1,0.95,0,2012,25
