nodeA,nodeB,bus0,bus1,v_nom,capital_cost,length,carrier,cables,wires,r,x,lon0,lat0,lon1,lat1,wkt_srid_4326
GI_Asam-asam,GI_Satui,25,26,150,10,53.115,AC,3,2,0.08,0.32,115.1049,-3.9253,115.519,-3.7127,"'SRID=4326;LINESTRING(115.1049 -3.9253,115.519 -3.7127)'"
GI_Satui,GI_Batulicin,26,27,150,10,63.741,AC,3,2,0.08,0.32,115.519,-3.7127,115.9862,-3.4822,"'SRID=4326;LINESTRING(115.519 -3.7127,115.9862 -3.4822)'"
GI_Asam-asam,GI_Pelaihari,25,29,150,10,58.919,AC,3,2,0.08,0.32,115.1049,-3.9253,114.7576,-3.7296,"'SRID=4326;LINESTRING(115.1049 -3.9253,114.7576 -3.7296)'"
GI_Pelaihari,GI_Cempaka,29,28,150,10,33.123,AC,3,2,0.08,0.32,114.7576,-3.7296,114.8499,-3.4658,"'SRID=4326;LINESTRING(114.7576 -3.7296,114.8499 -3.4658)'"
GI_Mantuil,GI_Bandara,24,30,150,10,16.075,AC,3,2,0.08,0.32,114.627,-3.4236,114.7553,-3.4725,"'SRID=4326;LINESTRING(114.627 -3.4236,114.7553 -3.4725)'"
GI_Bandara,GI_Cempaka,30,28,150,10,10.746,AC,3,2,0.08,0.32,114.7553,-3.4725,114.8499,-3.4658,"'SRID=4326;LINESTRING(114.7553 -3.4725,114.8499 -3.4658)'"
GI_Cempaka,GI_Rantau,28,31,150,10,60.632,AC,3,2,0.08,0.32,114.8499,-3.4658,115.126,-3.0289,"'SRID=4326;LINESTRING(114.8499 -3.4658,115.126 -3.0289)'"
GI_Rantau,GI_Barikin,31,32,150,10,46.202,AC,3,2,0.08,0.32,115.126,-3.0289,115.3276,-2.6843,"'SRID=4326;LINESTRING(115.126 -3.0289,115.3276 -2.6843)'"
GI_Seberang_Barito,GI_Kayutangi,22,33,150,10,18.645,AC,3,2,0.08,0.32,114.5522,-3.2767,114.6205,-3.2304,"'SRID=4326;LINESTRING(114.5522 -3.2767,114.6205 -3.2304)'"
GI_Kayutangi,GI_Barikin,33,32,150,10,105.161,AC,3,2,0.08,0.32,114.6205,-3.2304,115.3276,-2.6843,"'SRID=4326;LINESTRING(114.6205 -3.2304,115.3276 -2.6843)'"
GI_Barikin,GI_Amuntai,32,34,150,10,30.461,AC,3,2,0.08,0.32,115.3276,-2.6843,115.2949,-2.4171,"'SRID=4326;LINESTRING(115.3276 -2.6843,115.2949 -2.4171)'"
GI_Barikin,GI_Tanjung,32,35,150,10,59.659,AC,3,2,0.08,0.32,115.3276,-2.6843,115.4505,-2.1953,"'SRID=4326;LINESTRING(115.3276 -2.6843,115.4505 -2.1953)'"
GI_Tanjung,GI_Buntok,35,36,150,10,79.01,AC,3,2,0.08,0.32,115.4505,-2.1953,114.9788,-1.7459,"'SRID=4326;LINESTRING(115.4505 -2.1953,114.9788 -1.7459)'"
GI_Buntok,GI_Muara_Teweh,36,37,150,10,118.07,AC,3,2,0.08,0.32,114.9788,-1.7459,114.8658,-0.8672,"'SRID=4326;LINESTRING(114.9788 -1.7459,114.8658 -0.8672)'"
GI_Muara_Teweh,GI_Bangkanai,37,38,150,10,43.641,AC,3,2,0.08,0.32,114.8658,-0.8672,115.1385,-0.6212,"'SRID=4326;LINESTRING(114.8658 -0.8672,115.1385 -0.6212)'"
GI_Tanjung,GI_Muara_Komam,35,39,150,10,94.666,AC,3,2,0.08,0.32,115.4505,-2.1953,115.8694,-1.828,"'SRID=4326;LINESTRING(115.1385 -0.6212,115.8694 -1.828)'"
GI_Muara_Komam,GI_Kuaro,39,40,150,10,27.589,AC,3,2,0.08,0.32,115.8694,-1.828,116.0945,-1.8032,"'SRID=4326;LINESTRING(115.8694 -1.828,116.0945 -1.8032)'"
GI_Kuaro,GI_Grogot,40,41,150,10,14.658,AC,3,2,0.08,0.32,116.0945,-1.8032,116.1656,-1.8984,"'SRID=4326;LINESTRING(116.0945 -1.8032,116.1656 -1.8984)'"
GI_Kuaro,GI_Longikis,40,42,150,10,44.832,AC,3,2,0.08,0.32,116.0945,-1.8032,116.3231,-1.5161,"'SRID=4326;LINESTRING(116.0945 -1.8032,116.3231 -1.5161)'"
GI_Longikis,GI_Petung,42,43,150,10,44.514,AC,3,2,0.08,0.32,116.3231,-1.5161,116.6719,-1.3408,"'SRID=4326;LINESTRING(116.3231 -1.5161,116.6719 -1.3408)'"
GI_Petung,GI_Kariangau,43,44,150,10,48.163,AC,3,2,0.08,0.32,116.6719,-1.3408,116.792,-1.1657,"'SRID=4326;LINESTRING(116.6719 -1.3408,116.792 -1.1657)'"
GI_Kariangau,GI_Karangjoang,44,45,150,10,11.473,AC,3,2,0.08,0.32,116.792,-1.1657,116.8777,-1.1488,"'SRID=4326;LINESTRING(116.792 -1.1657,116.8777 -1.1488)'"
GI_Karangjoang,GI_Manggar_Sari,45,46,150,10,13.749,AC,3,2,0.08,0.32,116.8777,-1.1488,116.9488,-1.2383,"'SRID=4326;LINESTRING(116.8777 -1.1488,116.9488 -1.2383)'"
GI_Manggar_Sari,GI_Industri,46,47,150,10,13.615,AC,3,2,0.08,0.32,116.9488,-1.2383,116.8411,-1.262,"'SRID=4326;LINESTRING(116.9488 -1.2383,116.8411 -1.262)'"
GI_Manggar_Sari,GI_Senipah,46,48,150,10,42.687,AC,3,2,0.08,0.32,116.9488,-1.2383,117.135,-0.9869,"'SRID=4326;LINESTRING(116.9488 -1.2383,117.135 -0.9869)'"
GI_Karangjoang,GI_Harapan_Baru,45,49,150,10,75.274,AC,3,2,0.08,0.32,116.8777,-1.1488,117.1063,-0.547,"'SRID=4326;LINESTRING(116.8777 -1.1488,117.1063 -0.547)'"
GI_Harapan_Baru,GI_Tengkawang,49,50,150,10,8.31,AC,3,2,0.08,0.32,117.1063,-0.547,117.1136,-0.5024,"'SRID=4326;LINESTRING(117.1063 -0.547,117.1136 -0.5024)'"
GI_Tengkawang,GI_Embalut,50,51,150,10,15.935,AC,3,2,0.08,0.32,117.1136,-0.5024,117.0518,-0.3816,"'SRID=4326;LINESTRING(117.1136 -0.5024,117.0518 -0.3816)'"
GI_Embalut,GI_Bukit_Biru,51,52,150,10,20.491,AC,3,2,0.08,0.32,117.0518,-0.3816,116.978,-0.456,"'SRID=4326;LINESTRING(117.0518 -0.3816,116.978 -0.456)'"
GI_Bukit_Biru,GI_Kotabangun,52,53,150,10,53.727,AC,3,2,0.08,0.32,116.978,-0.456,116.5953,-0.2716,"'SRID=4326;LINESTRING(116.978 -0.456,116.5953 -0.2716)'"
GI_Harapan_Baru,GI_Bukuan,49,54,150,10,10.867,AC,3,2,0.08,0.32,117.1063,-0.547,117.193,-0.5832,"'SRID=4326;LINESTRING(117.1063 -0.547,117.193 -0.5832)'"
GI_Bukuan,GI_Muara_Jawa,54,55,150,10,28.882,AC,3,2,0.08,0.32,117.193,-0.5832,117.1886,-0.7806,"'SRID=4326;LINESTRING(117.193 -0.5832,117.1886 -0.7806)'"
GI_Bukuan,GI_Sambutan,54,56,150,10,7.177,AC,3,2,0.08,0.32,117.193,-0.5832,117.2139,-0.5242,"'SRID=4326;LINESTRING(117.193 -0.5832,117.2139 -0.5242)'"
GI_Sambutan,GI_Muara_Badak,56,57,150,10,27.134,AC,3,2,0.08,0.32,117.2139,-0.5242,117.2925,-0.316,"'SRID=4326;LINESTRING(117.2139 -0.5242,117.2925 -0.316)'"
GI_Muara_Badak,GI_Teluk_Pandan,57,58,150,10,57.5,AC,3,2,0.08,0.32,117.2925,-0.316,117.435,0.1614,"'SRID=4326;LINESTRING(117.2925 -0.316,117.435 0.1614)'"
GI_Teluk_Pandan,GI_Sangatta,58,59,150,10,42.347,AC,3,2,0.08,0.32,117.435,0.1614,117.5693,0.4701,"'SRID=4326;LINESTRING(117.435 0.1614,117.5693 0.4701)'"
GI_Malinau,GI_Tideng_Pale,60,61,150,10,28.625,AC,3,2,0.08,0.32,116.6286,3.5114,116.8411,3.5748,"'SRID=4326;LINESTRING(116.6286 3.5114,116.8411 3.5748)'"
GI_Muara_Wahau,GI_Sangatta,62,59,150,10,95.892,AC,3,2,0.08,0.32,116.9215,1.0533,117.5693,0.4701,"'SRID=4326;LINESTRING(116.9215 1.0533,117.5693 0.4701)'"
GI_Muara_Wahau,GI_Bulungan,62,63,150,10,197.219,AC,3,2,0.08,0.32,116.9215,1.0533,117.3678,2.8101,"'SRID=4326;LINESTRING(116.9215 1.0533,117.3678 2.8101)'"
GI_Bulungan,GI_Malinau,63,60,150,10,112.814,AC,3,2,0.08,0.32,117.3678,2.8101,116.6286,3.5114,"'SRID=4326;LINESTRING(117.3678 2.8101,116.6286 3.5114)'"
