name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_ULD_Tumbang_Senamang,14,0.46,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_ULD_Tumbang_Talaken,16,1,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_ULD_Tumbang_Tambirah,16,0.16,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_UPM_Parenggean,14,2.5,Oil,0.25,1.2,3,2016,25,,,,,
PLTG_Peaking_#01,51,70,Oil,0.25,1.2,3,2014,25,,,,,
PLTG_Peaking_#02,51,70,Oil,0.25,1.2,3,2014,25,,,,,
PLTG_PLN_Tarakan_#01,60,15.7,Gas,0.56,0.75,0.13,2004,#N/A,,,,,
PLTG_PLN_Tarakan_#02,60,23.6,Gas,0.56,0.75,0.13,2011,#N/A,,,,,
PLTG_Sambera_#01,57,20,Oil,0.25,1.2,3,2009,25,,,,,
PLTG_Sambera_#02,57,20,Oil,0.25,1.2,3,2009,25,,,,,
PLTG_Senipah_#01,48,46,Gas,0.56,0.75,0.13,2014,#N/A,,,,,
PLTG_Senipah_#02,48,46,Gas,0.56,0.75,0.13,2015,#N/A,,,,,
PLTG_Siantan,7,34,Oil,0.25,1.2,3,1997,25,,,,,
PLTG_Trisakti,23,21,Oil,0.25,1.2,3,1985,25,,,,,
PLTGU_Senipah_(ST),48,29.55,Gas,0.56,0.75,0.13,2020,#N/A,,,,,
PLTGU_Tanjung_Batu_#01,52,20,Oil,0.25,1.2,3,1997,25,,,,,
PLTGU_Tanjung_Batu_#02,52,20,Oil,0.25,1.2,3,1997,25,,,,,
PLTGU_Tanjung_Batu_#03,52,20,Oil,0.25,1.2,3,1998,25,,,,,
PLTMG_Bangkanai_Blok_#01,38,39.076,Gas,0.56,0.75,0.13,2016,#N/A,,,,,
PLTMG_Bangkanai_Blok_#02,38,39.076,Gas,0.56,0.75,0.13,2016,#N/A,,,,,
PLTMG_Bangkanai_Blok_#03,38,39.076,Gas,0.56,0.75,0.13,2016,#N/A,,,,,
PLTMG_Bangkanai_Blok_#04,38,39.076,Gas,0.56,0.75,0.13,2016,#N/A,,,,,
PLTMG_Belimbing,58,8,Gas,0.56,0.75,0.13,2014,#N/A,,,,,
PLTMG_Bontang_Wartsila_#01,58,6.97,Gas,0.56,0.75,0.13,2009,#N/A,,,,,
PLTMG_Bontang_Wartsila_#02,58,6.97,Gas,0.56,0.75,0.13,2009,#N/A,,,,,
PLTMG_Gunung_Belah_#01,60,6,Gas,0.56,0.75,0.13,2004,#N/A,,,,,
PLTMG_Gunung_Belah_#02,60,6,Gas,0.56,0.75,0.13,2004,#N/A,,,,,
PLTMG_MPP_Kaltim_#01,58,9.78,Gas,0.56,0.75,0.13,2018,#N/A,,,,,
PLTMG_MPP_Kaltim_#02,58,9.78,Gas,0.56,0.75,0.13,2018,#N/A,,,,,
PLTMG_MPP_Kaltim_#03,58,9.78,Gas,0.56,0.75,0.13,2018,#N/A,,,,,
PLTMG_MPP_Kaltim_#04,58,9.78,Gas,0.56,0.75,0.13,2017,#N/A,,,,,
PLTMG_MPP_PLN_Batam_(MPP_Pontianak),5,100,Oil,0.25,1.2,3,2017,25,,,,,
PLTMG_PLN_Tarakan,60,30,Gas,0.56,0.75,0.13,2004,#N/A,,,,,
PLTMG_Tanjung_Selor_Unit_1,63,8.912,Gas,0.56,0.75,0.13,2020,#N/A,,,,,
PLTMG_Tanjung_Selor_Unit_2,63,8.912,Gas,0.56,0.75,0.13,2019,#N/A,,,,,
PLTMH_Batu_Menang,9,0.1,Run_of_River,0.33,1.9,0.37,2007,80,,,,,
PLTMH_Bora,9,0.2,Run_of_River,0.33,1.9,0.37,,80,,,,,
PLTMH_Krayan,61,0.16,Run_of_River,0.33,1.9,0.37,2015,80,,,,,
PLTMH_Krayan_Pemkab,61,0.08,Run_of_River,0.33,1.9,0.37,2015,80,,,,,
PLTMH_Merasap,11,1.5,Run_of_River,0.33,1.9,0.37,2010,80,,,,,
PLTMH_Sajingan,11,0.225,Run_of_River,0.33,1.9,0.37,2006,80,,,,,
PLTMH_Serawak_Energi_BHD_Badau_(B),12,0.32,Run_of_River,0.33,1.9,0.37,,80,,,,,
PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),12,1.12,Run_of_River,0.33,1.9,0.37,,80,,,,,
PLTMH_Serawak_Energi_BHD_Sajingan_(B),12,0.8,Run_of_River,0.33,1.9,0.37,,80,,,,,
PLTS_Derawan,59,0.09,Oil,0.25,1.2,3,1983,25,,,,,
PLTS_Kayan_Hulu_ESDM,60,0.1,Solar,1,0.95,0,,25,,,,,
PLTS_Lumbis_Ogong_ESDM,61,0.1,Solar,1,0.95,0,2016,25,,,,,
PLTS_Pulau_Limbung,9,0.06,Solar,1,0.95,0,,25,,,,,
PLTS_Sebatik,61,0.34,Solar,1,0.95,0,1983,25,,,,,
PLTS_Sebatik_ESDM,61,0.2,Solar,1,0.95,0,2015,25,,,,,
PLTS_Sebuku_ESDM,61,0.1,Solar,1,0.95,0,2016,25,,,,,
PLTS_Seimenggaris_ESDM,61,0.1,Solar,1,0.95,0,2015,25,,,,,
PLTS_Sidding,10,0.04,Solar,1,0.95,0,2013,25,,,,,
PLTS_Temajuk,11,0.08,Solar,1,0.95,0,2012,25,,,,,
PLTS_Tulin_Onsoi_ESDM,61,0.1,Solar,1,0.95,0,2016,25,,,,,
PLTU_Asam_Asam_#01,25,65,Coal,0.34,1.65,0.13,2000,40,,,,,
PLTU_Asam_Asam_#02,25,65,Coal,0.34,1.65,0.13,2000,40,,,,,
PLTU_Asam_Asam_#03,25,65,Coal,0.34,1.65,0.13,2013,40,,,,,
PLTU_Asam_Asam_#04,25,65,Coal,0.34,1.65,0.13,2013,40,,,,,
PLTU_Dua_Samudera_Perkasa_(DSP),27,6,Coal,0.34,1.65,0.13,2008,40,,,,,
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,51,25,Coal,0.34,1.65,0.13,2008,40,,,,,
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,51,25,Coal,0.34,1.65,0.13,2008,40,,,,,
PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),51,50,Coal,0.34,1.65,0.13,2008,40,,,,,
PLTU_Kalbar_1_Unit_1,3,125,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kalbar_1_Unit_2,2,125,Coal,0.34,1.65,0.13,2021,40,,,,,
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,35,115,Coal,0.34,1.65,0.13,2019,40,,,,,
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,35,115,Coal,0.34,1.65,0.13,2019,40,,,,,
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,16,115.034,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,16,115.034,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kaltim_(FTP2)_Unit_1,58,100,Coal,0.34,1.65,0.13,2019,40,,,,,
PLTU_Kaltim_(FTP2)_Unit_2,58,125,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,51,115,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,51,115,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Kariangau_(PT._Kariangau_Power)_#01,44,15,Coal,0.34,1.65,0.13,2014,40,,,,,
PLTU_Kariangau_(PT._Kariangau_Power)_#02,44,15,Coal,0.34,1.65,0.13,2014,40,,,,,
PLTU_Ketapang_#01,9,10,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_Ketapang_#02,9,10,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_Lati_(PT._Indo_Pusaka_Berau),59,21,Coal,0.34,1.65,0.13,2004,40,,,,,
PLTU_Mangkujenang,54,4,Coal,0.34,1.65,0.13,2015,40,,,,,
PLTU_MT_Kaltim_(Muara_Jawa)_#01,55,33,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_MT_Kaltim_(Muara_Jawa)_#02,55,33,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),13,14,Coal,0.34,1.65,0.13,2011,40,,,,,
PLTU_Parit_Baru_Site_Bengkayang_#01,11,55,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_Parit_Baru_Site_Bengkayang_#02,11,55,Coal,0.34,1.65,0.13,2019,40,,,,,
PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),30,15,Coal,0.34,1.65,0.13,2015,40,,,,,
PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),60,7,Coal,0.34,1.65,0.13,2017,40,,,,,
PLTU_PT._Indocement_Tunggal_Perkasa,33,55,Coal,0.34,1.65,0.13,2000,40,,,,,
PLTU_PT._Kalimantan_Powerindo,44,15,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_PT._Kaltim_Daya_Mandiri,58,34,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_PT._Makmur_Sejahtera_Wisesa,35,60,Coal,0.34,1.65,0.13,2013,40,,,,,
PLTU_PT._Smart_Tarjun_Refinery,33,3.2,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_PT._Sumber_Alam_Sekurau_(SAS),63,7.5,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_PT._Wijaya_Triutama_Plywood_Industri,28,45,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_Pulang_Pisau_#01,20,60,Coal,0.34,1.65,0.13,2016,40,,,,,
PLTU_Pulang_Pisau_#02,20,60,Coal,0.34,1.65,0.13,2017,40,,,,,
PLTU_Rimau_Electric,38,7,Coal,0.34,1.65,0.13,2013,40,,,,,
PLTU_Rimba_Raya,52,7.5,Coal,0.34,1.65,0.13,2015,40,,,,,
PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,59,18,Coal,0.34,1.65,0.13,2017,40,,,,,
PLTU_Sanggau_#01,9,7,Coal,0.34,1.65,0.13,2014,40,,,,,
PLTU_Sanggau_#02,9,7,Coal,0.34,1.65,0.13,2014,40,,,,,
PLTU_Senoni_#01,49,7.5,Coal,0.34,1.65,0.13,2011,40,,,,,
PLTU_Senoni_#02,49,7.5,Coal,0.34,1.65,0.13,2011,40,,,,,
PLTU_Sintang_#01,10,9,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_Sintang_#02,10,9,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_Sintang_#03,10,9,Coal,0.34,1.65,0.13,2018,40,,,,,
PLTU_Tanjung_Redep_/_Berau_#01,58,9.5,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Tanjung_Redep_/_Berau_#02,58,9.13,Coal,0.34,1.65,0.13,2020,40,,,,,
PLTU_Teluk_Balikpapan_#01,43,110,Coal,0.34,1.65,0.13,2017,40,,,,,
PLTU_Teluk_Balikpapan_#02,43,110,Coal,0.34,1.65,0.13,2017,40,,,,,
PLTU_Tembilok_(IPP_Ketapang)_#01,9,7.5,Coal,0.34,1.65,0.13,2019,40,,,,,
PLTU_Tembilok_(IPP_Ketapang)_#02,9,7.5,Coal,0.34,1.65,0.13,2019,40,,,,,
