name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_Karangan,59,1,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,13,2.66,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Kayan,9,0.337,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Kayan_Hulu,63,1.275,Oil,0.25,1.2,3,,25,,,,,
PLTD_Kelumpang,53,0.12,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Kemangai,10,0.216,Oil,0.25,1.2,3,1988,25,,,,,
PLTD_Kenambui,13,0.12,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Kendawangan_Kanan,9,0.823,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Kerang,40,0.96,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Kerasian,25,0.33,Oil,0.25,1.2,3,2004,25,,,,,
PLTD_Kerayaan,25,0.61,Oil,0.25,1.2,3,2017,25,,,,,
PLTD_Kerumputan,25,0.46,Oil,0.25,1.2,3,2017,25,,,,,
PLTD_Ketungau,10,0.213,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Kledang,50,40.03,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Kota_Baru,9,0.331,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Kotabaru,22,15.47,Oil,0.25,1.2,3,1980,25,,,,,
PLTD_Krayan,61,0.8,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_KTT,61,3.81,Oil,0.25,1.2,3,2009,25,,,,,
PLTD_KTT_Pemkab,61,3.68,Oil,0.25,1.2,3,2009,25,,,,,
PLTD_Kuala_Buayan,9,1.574,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Kuala_Jelai,13,0.92,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Kuala_Kapuas,21,6,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Kuala_Kurun_#01_(MWM),16,0.22,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),16,0.528,Oil,0.25,1.2,3,2004,25,,,,,
