type,node0,lon0,lat0,id,bus0,location0,p_nom,carrier,type1,node1,lon1,lat1,bus1,location1,loc_connection
generator,PLTU_Tembilok_(IPP_Ketapang)_#02,109.952,-1.782,,,Kalimantan Barat,7.5,Coal,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTBm_PT_Alas_Kusuma,109.972,-1.782,,,Kalimantan Barat,3.5,Biomass,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sukaharja,109.977,-1.802,,,Kalimantan Barat,14.799,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Cempaka_Putih,110.057,1.073,,,Kalimantan Barat,0.28,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTS_Sidding,110.071,1.252,,,Kalimantan Barat,0.04,Solar,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Teraju,110.104,-0.23,,,Kalimantan Barat,0.368,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kendawangan_Kanan,110.207,-2.532,,,Kalimantan Barat,0.823,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Ulak_Medang,110.29,-1.678,,,Kalimantan Barat,0.04,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTA_SESCO_275,110.35,1.354,,,Kalimantan Barat,90,Run_of_River,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),110.355,0.988,,,Kalimantan Barat,1.12,Run_of_River,substation,GITET_Bengkayang,109.4966,0.9066,12,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Balai_Bekuak,110.369,-0.522,,,Kalimantan Barat,3.009,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kuala_Buayan,110.382,0.106,,,Kalimantan Barat,1.574,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sampurna,110.455,-1.184,,,Kalimantan Barat,0.236,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Aur_Kuning,110.486,-0.954,,,Kalimantan Barat,2.755,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sandai,110.524,-1.234,,,Kalimantan Barat,1.438,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Sanggau_#01,110.556,0.03,,,Kalimantan Barat,7,Coal,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Sanggau_#02,110.556,0.03,,,Kalimantan Barat,7,Coal,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Semboja,110.56,0.135,,,Kalimantan Barat,6,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Tayap,110.563,-1.516,,,Kalimantan Barat,0.75,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
