type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTA_SESCO_275,110.35,1.354,,90,Run_of_River,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),110.355,0.988,,1.12,Run_of_River,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Balai_Bekuak,110.369,-0.522,,3.009,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Kuala_Buayan,110.382,0.106,,1.574,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Sampurna,110.455,-1.184,,0.236,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Aur_Kuning,110.486,-0.954,,2.755,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Sandai,110.524,-1.234,,1.438,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTU_Sanggau_#01,110.556,0.03,,7,Coal,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTU_Sanggau_#02,110.556,0.03,,7,Coal,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Semboja,110.56,0.135,,6,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Nanga_Tayap,110.563,-1.516,,0.75,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Kantuk,110.607,0.124,,0.14,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Tumbang_Titi,110.611,-1.846,,1.35,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Air_Hitam,110.625,-2.793,,1.05,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Marau,110.708,-2.125,,0.246,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Kuala_Jelai,110.739,-2.985,,0.92,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Air_Upas,110.8,-2.303,,0.695,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Balai_Karangan,110.828,0.435,,4.69,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Sekadau,110.89,0.021,,2.345,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTMH_Batu_Menang,110.959,-1.984,,0.1,Run_of_River,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Manis_Mata,111.028,-2.448,,0.232,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Senaning,111.032,0.908,,0.488,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Kudangan,111.043,-1.61,,0.29,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Sinar_Pekayau,111.082,0.333,,0.505,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Jasa,111.148,1.004,,0.306,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Sukamara_#03_(MWM),111.164,-2.717,,0.22,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#04_(DEUTZ),111.164,-2.717,,0.24,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#05_(DEUTZ_AG),111.164,-2.717,,0.7,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#06_(MTU),111.164,-2.717,,0.528,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#07_(MITSUBITSI),111.164,-2.717,,1.33,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#08_(MITSUBITSI),111.164,-2.717,,1.33,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#09_(MITSUBITSI),111.164,-2.717,,1.33,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#01_(MAN),111.164,-2.717,,0.536,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sukamara_#02_(MAN),111.164,-2.717,,0.536,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Balai_Riam,111.182,-2.992,,0.54,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Balai_Sepuak,111.206,0.442,,0.996,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,111.211,-2.685,,2.66,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Belitang,111.24,0.131,,3.3,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Tapin_Bini,111.317,-1.892,,11.65,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTU_Sintang_#01,111.434,0.074,,9,Coal,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTU_Sintang_#02,111.434,0.074,,9,Coal,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTU_Sintang_#03,111.434,0.074,,9,Coal,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Rayon_Nanga_Bulik,111.469,-2.187,,10.848,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
