type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTD_Pendang,114.874,-1.506,,0.3,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Muara_Teweh,114.883,-0.926,,8.81,Oil,,substation,GI_Muara_Teweh,114.8658,-0.8672,37
generator,PLTD_Merawan_Lama,114.884,-1.451,,0.28,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Montalat,114.894,-1.323,,0.26,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Kayan_Hulu,114.91,1.785,,1.275,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Bundar,114.93,-1.478,,0.12,Oil,,substation,GI_Cempaka,114.8499,-3.4658,28
generator,PLTD_Luwe_Hulu,114.941,-0.795,,0.48,Oil,,substation,GI_Muara_Teweh,114.8658,-0.8672,37
generator,PLTD_Sabuh,114.976,-0.971,,0.22,Oil,,substation,GI_Muara_Teweh,114.8658,-0.8672,37
substation,GI_Buntok,114.9788,-1.7459,36,,,150,#VALUE!,,,,
generator,PLTD_Muara_Plantau,115.001,-1.939,,0.18,Oil,,substation,GI_Buntok,114.9788,-1.7459,36
generator,PLTA_IR._PM_Noor,115.008,-3.516,,30,Run_of_River,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTD_Benangin,115.088,-0.978,,0.36,Oil,,substation,GI_Buntok,114.9788,-1.7459,36
substation,GI_Asam-asam,115.1049,-3.9253,25,,,150,#VALUE!,,,,
generator,PLTD_Asam_Asam,115.105,-3.925,,8.4,Oil,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTU_Asam_Asam_#01,115.105,-3.927,,65,Coal,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTU_Asam_Asam_#02,115.106,-3.926,,65,Coal,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTU_Asam_Asam_#03,115.106,-3.926,,65,Coal,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTU_Asam_Asam_#04,115.106,-3.926,,65,Coal,,substation,GI_Asam-asam,115.1049,-3.9253,25
generator,PLTD_Kandui,115.119,-1.257,,1.13,Oil,,substation,GI_Buntok,114.9788,-1.7459,36
substation,GI_Rantau,115.126,-3.0289,31,,,150,#VALUE!,,,,
generator,PLTU_Rimau_Electric,115.127,-2.018,,7,Coal,,substation,GI_Rantau,115.126,-3.0289,31
generator,PLTMG_Bangkanai_Blok_#01,115.137,-0.622,,39.076,Gas,,substation,GI_Rantau,115.126,-3.0289,31
generator,PLTMG_Bangkanai_Blok_#02,115.137,-0.623,,39.076,Gas,,substation,GI_Rantau,115.126,-3.0289,31
generator,PLTMG_Bangkanai_Blok_#03,115.137,-0.623,,39.076,Gas,,substation,GI_Rantau,115.126,-3.0289,31
generator,PLTMG_Bangkanai_Blok_#04,115.137,-0.623,,39.076,Gas,,substation,GI_Rantau,115.126,-3.0289,31
substation,GI_Bangkanai,115.1385,-0.6212,38,,,150,#VALUE!,,,,
generator,PLTD_ULD_Rantau_Bujur,115.199,-3.082,,0.42,Oil,,substation,GI_Bangkanai,115.1385,-0.6212,38
generator,PLTD_ULD_Benua_Riam,115.226,-3.094,,0.18,Oil,,substation,GI_Bangkanai,115.1385,-0.6212,38
generator,PLTD_Long_Bagun,115.237,0.226,,0.3,Oil,,substation,GI_Bangkanai,115.1385,-0.6212,38
generator,PLTD_Long_Bagun_Pemkab,115.257,0.206,,0.52,Oil,,substation,GI_Bangkanai,115.1385,-0.6212,38
generator,PLTD_Panangkalaan,115.262,-2.404,,8.534,Oil,,substation,GI_Amuntai,115.2949,-2.4171,34
substation,GI_Amuntai,115.2949,-2.4171,34,,,150,#VALUE!,,,,
substation,GI_Barikin,115.3276,-2.6843,32,,,150,#VALUE!,,,,
generator,PLTD_Barabai,115.376,-2.593,,6.672,Oil,,substation,GI_Barikin,115.3276,-2.6843,32
generator,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,115.442,-2.162,,115,Coal,,substation,GI_Tanjung,115.4505,-2.1953,35
generator,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,115.443,-2.162,,115,Coal,,substation,GI_Tanjung,115.4505,-2.1953,35
generator,PLTU_PT._Makmur_Sejahtera_Wisesa,115.445,-2.158,,60,Coal,,substation,GI_Tanjung,115.4505,-2.1953,35
generator,PLTD_Maburai,115.45,-2.195,,1.88,Oil,,substation,GI_Tanjung,115.4505,-2.1953,35
substation,GI_Tanjung,115.4505,-2.1953,35,,,150,#VALUE!,,,,
generator,PLTD_Datah_Bilang,115.464,0.226,,0.54,Oil,,substation,GI_Tanjung,115.4505,-2.1953,35
substation,GI_Satui,115.519,-3.7127,26,,,150,#VALUE!,,,,
generator,PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),115.57,-2.063,,15,Coal,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Gunung_Purei_Unit_123,115.62,-1.133,,0.38,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Long_Iram,115.633,0.013,,1.44,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Long_Iram_Pemkab,115.633,0.013,,0.5,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Krayan,115.7,3.883,,0.8,Oil,,substation,GI_Muara_Komam,115.8694,-1.828,39
generator,PLTMH_Krayan_Pemkab,115.7,3.883,,0.08,Run_of_River,,substation,GI_Muara_Komam,115.8694,-1.828,39
generator,PLTMH_Krayan,115.7,3.883,,0.16,Run_of_River,,substation,GI_Muara_Komam,115.8694,-1.828,39
generator,PLTD_Dilang_Putih,115.766,-0.717,,0.22,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTBg_Suka_Damai,115.773,-3.341,,2.4,Biogas,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Sewa_Sentawar_Pemkab_Kubar,115.801,-0.242,,5.2,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Sentawar,115.801,-0.242,,24.61,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTBg_Rea_Kaltim,115.801,-0.242,,2,Biogas,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Marabatuan,115.81,-4.369,,0.3,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Muara_Komam,115.812,-1.675,,2.79,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Kelumpang,115.823,-0.173,,0.12,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Melak,115.831,-0.212,,24.61,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Melak_Sewatama,115.831,-0.212,,4,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Melak_Pemkab,115.832,-0.212,,5.2,Oil,,substation,GI_Satui,115.519,-3.7127,26
generator,PLTD_Melak_Kaltimex,115.832,-0.212,,6,Oil,,substation,GI_Satui,115.519,-3.7127,26
substation,GI_Muara_Komam,115.8694,-1.828,39,,,150,#VALUE!,,,,
generator,PLTD_Batu_Sopang,115.912,-1.82,,8.4,Oil,,substation,GI_Muara_Komam,115.8694,-1.828,39
generator,PLTD_Tabisaq,115.921,-0.497,,0.52,Oil,,substation,GI_Muara_Komam,115.8694,-1.828,39
generator,PLTD_Tabang,115.927,0.673,,0.53,Oil,,substation,GI_Muara_Komam,115.8694,-1.828,39
substation,GI_Batulicin,115.9862,-3.4822,27,,,150,#VALUE!,,,,
generator,PLTD_Sengayam,115.995,-2.367,,1.78,Oil,,substation,GI_Batulicin,115.9862,-3.4822,27
generator,PLTU_Dua_Samudera_Perkasa_(DSP),116.029,-3.309,,6,Coal,,substation,GI_Batulicin,115.9862,-3.4822,27
generator,PLTD_Lontar,116.064,-3.978,,2.62,Oil,,substation,GI_Batulicin,115.9862,-3.4822,27
generator,PLTD_Muara_Pahu,116.064,-0.325,,0.8,Oil,,substation,GI_Batulicin,115.9862,-3.4822,27
generator,PLTD_Kerang,116.082,-2.239,,0.96,Oil,,substation,GI_Batulicin,115.9862,-3.4822,27
generator,PLTD_Semaras,116.082,-3.823,,0.15,Oil,,substation,GI_Batulicin,115.9862,-3.4822,27
substation,GI_Kuaro,116.0945,-1.8032,40,,,150,#VALUE!,,,,
generator,PLTU_PT._Indocement_Tunggal_Perkasa,116.108,-3.273,,55,Coal,,substation,GI_Kuaro,116.0945,-1.8032,40
generator,PLTU_PT._Smart_Tarjun_Refinery,116.119,-3.271,,3.2,Coal,,substation,GI_Kuaro,116.0945,-1.8032,40
generator,PLTD_Long_Beluah,116.121,2.738,,0.5,Oil,,substation,GI_Kuaro,116.0945,-1.8032,40
generator,PLTD_Tanjung_Isuy,116.14,-0.514,,1.88,Oil,,substation,GI_Kuaro,116.0945,-1.8032,40
generator,PLTD_Sei_Durian,116.162,-2.509,,1.09,Oil,,substation,GI_Kuaro,116.0945,-1.8032,40
substation,GI_Grogot,116.1656,-1.8984,41,,,150,#VALUE!,,,,
generator,PLTD_Kerumputan,116.172,-4.049,,0.46,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Tanah_Grogot,116.18,-1.888,,3.19,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Sampanahan,116.187,-2.641,,1.77,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Bakau,116.196,-2.443,,0.46,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Kerasian,116.203,-4.027,,0.33,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Geronggang,116.207,-2.857,,1.85,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Kerayaan,116.207,-4.091,,0.61,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Kotabaru,116.212,-3.254,,15.47,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Sewa_Kaltimex_Kotabaru,116.212,-3.254,,5.1,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Tanjung_Batu,116.222,-3.005,,1,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Penyinggahan,116.223,-0.387,,0.56,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Mara,116.239,2.75,,0.5,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Jantur,116.29,-0.42,,0.724,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Gn._Batu_Besar,116.294,-2.622,,0.51,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Muara_Kedang,116.298,-0.567,,0.42,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Tanjung_Seloka,116.306,-3.9,,1.75,Oil,,substation,GI_Grogot,116.1656,-1.8984,
generator,PLTD_Mulyaharja,116.322,-2.35,,0.43,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
substation,GI_Longikis,116.3231,-1.5161,42,,,150,#VALUE!,,,,
generator,PLTD_Muara_Aloh,116.352,-0.432,,0.16,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Gemar_Baru,116.376,0.801,,0.48,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Gemar_Baru_Pemkab,116.376,0.801,,0.2,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Sei_Bali,116.407,-3.408,,1.67,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Tanjung_Samalantakan,116.415,-2.566,,0.49,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Semayang,116.452,-0.183,,0.18,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Muara_Muntai,116.474,-0.643,,1.5,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Lumbis_Ogong,116.548,3.93,,0.5,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTS_Lumbis_Ogong_ESDM,116.548,3.93,,0.1,Solar,,substation,GI_Longikis,116.3231,-1.5161,42
generator,PLTD_Tanjung_Aru,116.584,-2.175,,0.4,Oil,,substation,GI_Longikis,116.3231,-1.5161,42
substation,GI_Kotabangun,116.5953,-0.2716,53,,,150,#VALUE!,,,,
generator,PLTD_Malinau,116.611,3.541,,10.64,Oil,,substation,GI_Malinau,116.6286,3.5114,60
generator,PLTD_Malinau_Pemkab,116.611,3.541,,7.672,Oil,,substation,GI_Malinau,116.6286,3.5114,60
generator,PLTD_Malinau_Kaltimex,116.611,3.541,,2,Oil,,substation,GI_Malinau,116.6286,3.5114,60
generator,PLTD_Senyiur,116.623,0.312,,0.48,Oil,,substation,GI_Kotabangun,116.5953,-0.2716,53
generator,PLTD_Senyiur_Pemkab,116.623,0.312,,0.4,Oil,,substation,GI_Kotabangun,116.5953,-0.2716,53
substation,GI_Malinau,116.6286,3.5114,60,,,150,#VALUE!,,,,
generator,PLTD_Muara_Siran,116.636,-0.128,,0.18,Oil,,substation,GI_Kotabangun,116.5953,-0.2716,53
generator,PLTD_Petung,116.67,-1.342,,5.812,Oil,,substation,GI_Kotabangun,116.5953,-0.2716,53
substation,GI_Petung,116.6719,-1.3408,43,,,150,#VALUE!,,,,
generator,PLTD_Muara_Bengkal,116.674,0.437,,4.548,Oil,,substation,GI_Malinau,116.6286,3.5114,60
generator,PLTD_Jenebora/Gresik,116.735,-1.186,,0.76,Oil,,substation,GI_Petung,116.6719,-1.3408,43
generator,PLTD_Long_Peso,116.781,2.691,,0.443,Oil,,substation,GI_Malinau,116.6286,3.5114,60
generator,PLTU_Teluk_Balikpapan_#01,116.789,-1.17,,110,Coal,,substation,GI_Petung,116.6719,-1.3408,43
generator,PLTU_Teluk_Balikpapan_#02,116.789,-1.17,,110,Coal,,substation,GI_Petung,116.6719,-1.3408,43
substation,GI_Kariangau,116.792,-1.1657,44,,,150,#VALUE!,,,,
generator,PLTU_Kariangau_(PT._Kariangau_Power)_#01,116.801,-1.199,,15,Coal,,substation,GI_Kariangau,116.792,-1.1657,44
generator,PLTU_Kariangau_(PT._Kariangau_Power)_#02,116.801,-1.199,,15,Coal,,substation,GI_Kariangau,116.792,-1.1657,44
generator,PLTD_Sedulang,116.811,-0.125,,0.44,Oil,,substation,GI_Kariangau,116.792,-1.1657,44
generator,PLTD_Long_Segar,116.821,0.798,,0.44,Oil,,substation,GI_Kariangau,116.792,-1.1657,44
generator,PLTD_Batu_Ampar,116.831,0.679,,0.4,Oil,,substation,GI_Industri,116.8411,-1.262,47
generator,PLTU_PT._Kalimantan_Powerindo,116.837,-0.32,,15,Coal,,substation,GI_Kariangau,116.792,-1.1657,44
generator,PLTD_Gunung_Malang,116.841,-1.263,,20.08,Oil,,#VALUE!,,,,
substation,GI_Industri,116.8411,-1.262,47,,,150,#VALUE!,,,,
substation,GI_Tideng_Pale,116.8411,3.5748,61,,,150,#VALUE!,,,,
generator,PLTD_Muara_Wahau,116.843,1.045,,6.894,Oil,,substation,GI_Industri,116.8411,-1.262,47
generator,PLTD_Muara_Wahau_Altrak,116.843,1.045,,3,Oil,,substation,GI_Industri,116.8411,-1.262,47
substation,GI_Karangjoang,116.8777,-1.1488,45,,,150,#VALUE!,,,,
generator,PLTD_CDE_Karang_Joang_(MFO),116.878,-1.149,,30,Oil,,substation,GI_Karangjoang,116.8777,-1.1488,45
generator,PLTD_KTT_Pemkab,116.933,3.608,,3.68,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTD_KTT,116.933,3.608,,3.81,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
substation,GI_Manggar_Sari,116.9488,-1.2383,46,,,150,#VALUE!,,,,
generator,PLTD_Batakan_Unit,116.951,-1.238,,12.16,Oil,,substation,GI_Manggar_Sari,116.9488,-1.2383,46
generator,PLTD_Cogindo_(MFO),116.951,-1.238,,40,Oil,,#VALUE!,,,,
substation,GI_Bukit_Biru,116.978,-0.456,52,,,150,#VALUE!,,,,
generator,PLTD_Tulin_Onsoi,116.992,4.18,,1,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTS_Tulin_Onsoi_ESDM,116.992,4.18,,0.1,Solar,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTD_Sebuku,117.023,4.063,,0.695,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTS_Sebuku_ESDM,117.023,4.063,,0.1,Solar,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTU_Rimba_Raya,117.035,-0.547,,7.5,Coal,,substation,GI_Bukit_Biru,116.978,-0.456,52
generator,PLTD_Atap,117.049,3.855,,0.3,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTGU_Tanjung_Batu_#01,117.051,-0.382,,20,Oil,,substation,GI_Bukit_Biru,116.978,-0.456,52
generator,PLTGU_Tanjung_Batu_#02,117.051,-0.381,,20,Oil,,substation,GI_Bukit_Biru,116.978,-0.456,52
generator,PLTGU_Tanjung_Batu_#03,117.051,-0.381,,20,Oil,,substation,GI_Bukit_Biru,116.978,-0.456,52
substation,GI_Embalut,117.0518,-0.3816,51,,,150,#VALUE!,,,,
generator,PLTG_Peaking_#01,117.052,-0.384,,70,Oil,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTG_Peaking_#02,117.052,-0.384,,70,Oil,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,117.062,-0.373,,25,Coal,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,117.062,-0.373,,25,Coal,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),117.063,-0.373,,50,Coal,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,117.066,-0.364,,115,Coal,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,117.066,-0.364,,115,Coal,,substation,GI_Embalut,117.0518,-0.3816,51
generator,PLTD_Sekatak_Pemkab,117.07,3.307,,0.426,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTD_Sekatak,117.07,3.307,,0.6,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTU_Senoni_#01,117.093,-0.543,,7.5,Coal,,substation,GI_Harapan_Baru,117.1063,-0.547,49
generator,PLTU_Senoni_#02,117.093,-0.544,,7.5,Coal,,substation,GI_Harapan_Baru,117.1063,-0.547,49
substation,GI_Harapan_Baru,117.1063,-0.547,49,,,150,#VALUE!,,,,
substation,GI_Tengkawang,117.1136,-0.5024,50,,,150,#VALUE!,,,,
generator,PLTD_Karang_Asam,117.114,-0.502,,40,Oil,,substation,GI_Tengkawang,117.1136,-0.5024,50
generator,PLTD_Gunung_Sari,117.116,2.185,,0.57,Oil,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTBm_Gunung_Sari_HHM,117.117,2.185,,0.2,Biomass,,substation,GI_Tideng_Pale,116.8411,3.5748,61
generator,PLTD_Kledang,117.122,-0.523,,40.03,Oil,,substation,GI_Tengkawang,117.1136,-0.5024,50
generator,PLTG_Senipah_#01,117.135,-0.988,,46,Gas,,substation,GI_Tengkawang,117.1136,-0.5024,50
substation,GI_Senipah,117.135,-0.9869,48,,,150,#VALUE!,,,,
generator,PLTG_Senipah_#02,117.136,-0.987,,46,Gas,,substation,GI_Senipah,117.135,-0.9869,48
generator,PLTGU_Senipah_(ST),117.136,-0.987,,29.55,Gas,,substation,GI_Senipah,117.135,-0.9869,48
generator,PLTU_Mangkujenang,117.156,-0.539,,4,Coal,,substation,GI_Bukuan,117.193,-0.5832,54
substation,GI_Muara_Jawa,117.1886,-0.7806,55,,,150,#VALUE!,,,,
generator,PLTU_MT_Kaltim_(Muara_Jawa)_#01,117.189,-0.78,,33,Coal,,substation,GI_Muara_Jawa,117.1886,-0.7806,55
generator,PLTU_MT_Kaltim_(Muara_Jawa)_#02,117.189,-0.78,,33,Coal,,substation,GI_Muara_Jawa,117.1886,-0.7806,55
substation,GI_Bukuan,117.193,-0.5832,54,,,150,#VALUE!,,,,
substation,GI_Sambutan,117.2139,-0.5242,56,,,150,#VALUE!,,,,
generator,PLTD_Merasa,117.251,1.806,,0.28,Oil,,substation,GI_Sambutan,117.2139,-0.5242,56
generator,PLTG_Sambera_#01,117.291,-0.317,,20,Oil,,substation,GI_Muara_Badak,117.2925,-0.316,57
generator,PLTG_Sambera_#02,117.292,-0.317,,20,Oil,,substation,GI_Muara_Badak,117.2925,-0.316,57
substation,GI_Muara_Badak,117.2925,-0.316,57,,,150,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Seimenggaris,117.341,4.188,,0.6,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTS_Seimenggaris_ESDM,117.341,4.188,,0.1,Solar,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_Tanjung_Selor_Unit_2,117.367,2.814,,8.912,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_Tanjung_Selor_Unit_1,117.367,2.814,,8.912,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Selor,117.386,2.832,,19.384,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Selor_Sewatama,117.386,2.832,,2,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Selor_Makro,117.386,2.832,,7.3,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTU_Tanjung_Redep_/_Berau_#02,117.393,2.156,,9.13,Coal,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTU_Tanjung_Redep_/_Berau_#01,117.393,2.156,,9.5,Coal,,substation,GI_Teluk_Pandan,117.435,0.1614,58
substation,GI_Teluk_Pandan,117.435,0.1614,58,,,150,#VALUE!,,,,
generator,PLTMG_Belimbing,117.451,0.166,,8,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_Bontang_Wartsila_#01,117.454,0.137,,6.97,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_MPP_Kaltim_#03,117.454,0.138,,9.78,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_MPP_Kaltim_#04,117.454,0.138,,9.78,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_MPP_Kaltim_#01,117.454,0.138,,9.78,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_MPP_Kaltim_#02,117.454,0.138,,9.78,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTMG_Bontang_Wartsila_#02,117.454,0.137,,6.97,Gas,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Bontang,117.459,0.145,,27.59,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTU_Kaltim_(FTP2)_Unit_1,117.492,0.054,,100,Coal,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTU_Kaltim_(FTP2)_Unit_2,117.492,0.055,,125,Coal,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTU_PT._Kaltim_Daya_Mandiri,117.497,0.175,,34,Coal,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Sambaliung,117.511,2.158,,15.918,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Samabliung_Kaltimex,117.511,2.158,,3,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTU_PT._Sumber_Alam_Sekurau_(SAS),117.521,2.794,,7.5,Coal,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Tanah_Merah,117.54,3.764,,0.43,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Sepaso,117.561,0.756,,4.49,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Sepaso_Pemkab,117.561,0.756,,0.92,Oil,,substation,GI_Teluk_Pandan,117.435,0.1614,58
generator,PLTD_Muara_Pantuan,117.569,-0.58,,0.36,Oil,,substation,GI_Sambutan,117.2139,-0.5242,57
substation,GI_Sangatta,117.5693,0.4701,59,,,150,#VALUE!,,,,
generator,PLTS_Kayan_Hulu_ESDM,117.595,3.304,,0.1,Solar,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Tarakan,117.595,3.304,,15.264,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Sewa_Tarakan,117.595,3.303,,17,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTMG_Gunung_Belah_#01,117.596,3.304,,6,Gas,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTMG_Gunung_Belah_#02,117.596,3.304,,6,Gas,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTG_PLN_Tarakan_#01,117.596,3.303,,15.7,Gas,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTMG_PLN_Tarakan,117.596,3.303,,30,Gas,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTG_PLN_Tarakan_#02,117.596,3.304,,23.6,Gas,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),117.612,3.292,,7,Coal,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTU_Lati_(PT._Indo_Pusaka_Berau),117.619,2.215,,21,Coal,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,117.635,0.539,,18,Coal,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Nunukan,117.64,4.134,,11.198,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Nunukan_Pemkab,117.64,4.134,,7.02,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Karangan,117.673,1.35,,1,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTBm_Karangan_DL,117.673,1.35,,0.35,Biomass,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Pengadan,117.673,1.35,,0.62,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTS_Sebatik_ESDM,117.802,4.153,,0.2,Solar,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Bunyu,117.845,3.469,,1,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Tubaan,117.859,1.818,,0.455,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Sebatik,117.909,4.147,,6.712,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTS_Sebatik,117.909,4.147,,0.34,Solar,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Sangkulirang,117.98,0.986,,3,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Sangkulirang_Pemkab,117.98,0.986,,0.8,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Tanjung_Batu,118.092,2.278,,1.43,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
generator,PLTD_Talisayan_Pemkab,118.177,1.605,,0.8,Oil,,substation,GI_Sangatta,117.5693,0.4701,59
