name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),12,1.12,Run_of_River,3,",PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),12,1.12,Run_of_River,3,",,,
PLTD_Balai_Bekuak,9,3.009,Oil,3,",PLTD_Balai_Bekuak,9,3.009,Oil,3,",,,
PLTD_Kuala_Buayan,9,1.574,Oil,3,",PLTD_Kuala_Buayan,9,1.574,Oil,3,",,,
PLTD_Sampurna,9,0.236,Oil,3,",PLTD_Sampurna,9,0.236,Oil,3,",,,
PLTD_Aur_Kuning,9,2.755,Oil,3,",PLTD_Aur_Kuning,9,2.755,Oil,3,",,,
PLTD_Sandai,9,1.438,Oil,3,",PLTD_Sandai,9,1.438,Oil,3,",,,
PLTU_Sanggau_#01,9,7,Coal,0.13,",PLTU_Sanggau_#01,9,7,Coal,0.13,",,,
PLTU_Sanggau_#02,9,7,Coal,0.13,",PLTU_Sanggau_#02,9,7,Coal,0.13,",,,
PLTD_Semboja,10,6,Oil,3,",PLTD_Semboja,10,6,Oil,3,",,,
PLTD_Nanga_Tayap,9,0.75,Oil,3,",PLTD_Nanga_Tayap,9,0.75,Oil,3,",,,
PLTD_Kantuk,10,0.14,Oil,3,",PLTD_Kantuk,10,0.14,Oil,3,",,,
PLTD_Tumbang_Titi,9,1.35,Oil,3,",PLTD_Tumbang_Titi,9,1.35,Oil,3,",,,
PLTD_Air_Hitam,9,1.05,Oil,3,",PLTD_Air_Hitam,9,1.05,Oil,3,",,,
PLTD_Marau,9,0.246,Oil,3,",PLTD_Marau,9,0.246,Oil,3,",,,
PLTD_Kuala_Jelai,13,0.92,Oil,3,",PLTD_Kuala_Jelai,13,0.92,Oil,3,",,,
PLTD_Air_Upas,9,0.695,Oil,3,",PLTD_Air_Upas,9,0.695,Oil,3,",,,
PLTD_Balai_Karangan,10,4.69,Oil,3,",PLTD_Balai_Karangan,10,4.69,Oil,3,",,,
PLTD_Sekadau,9,2.345,Oil,3,",PLTD_Sekadau,9,2.345,Oil,3,",,,
PLTMH_Batu_Menang,9,0.1,Run_of_River,3,",PLTMH_Batu_Menang,9,0.1,Run_of_River,3,",,,
PLTD_Manis_Mata,10,0.232,Oil,3,",PLTD_Manis_Mata,10,0.232,Oil,3,",,,
PLTD_Senaning,10,0.488,Oil,3,",PLTD_Senaning,10,0.488,Oil,3,",,,
PLTD_Kudangan,13,0.29,Oil,3,",PLTD_Kudangan,13,0.29,Oil,3,",,,
PLTD_Sinar_Pekayau,10,0.505,Oil,3,",PLTD_Sinar_Pekayau,10,0.505,Oil,3,",,,
PLTD_Jasa,10,0.306,Oil,3,",PLTD_Jasa,10,0.306,Oil,3,",,,
PLTD_Sukamara_#03_(MWM),13,0.22,Oil,3,",PLTD_Sukamara_#03_(MWM),13,0.22,Oil,3,",,,
PLTD_Sukamara_#04_(DEUTZ),13,0.24,Oil,3,",PLTD_Sukamara_#04_(DEUTZ),13,0.24,Oil,3,",,,
PLTD_Sukamara_#05_(DEUTZ_AG),13,0.7,Oil,3,",PLTD_Sukamara_#05_(DEUTZ_AG),13,0.7,Oil,3,",,,
PLTD_Sukamara_#06_(MTU),13,0.528,Oil,3,",PLTD_Sukamara_#06_(MTU),13,0.528,Oil,3,",,,
PLTD_Sukamara_#07_(MITSUBITSI),13,1.33,Oil,3,",PLTD_Sukamara_#07_(MITSUBITSI),13,1.33,Oil,3,",,,
PLTD_Sukamara_#08_(MITSUBITSI),13,1.33,Oil,3,",PLTD_Sukamara_#08_(MITSUBITSI),13,1.33,Oil,3,",,,
PLTD_Sukamara_#09_(MITSUBITSI),13,1.33,Oil,3,",PLTD_Sukamara_#09_(MITSUBITSI),13,1.33,Oil,3,",,,
PLTD_Sukamara_#01_(MAN),13,0.536,Oil,3,",PLTD_Sukamara_#01_(MAN),13,0.536,Oil,3,",,,
PLTD_Sukamara_#02_(MAN),13,0.536,Oil,3,",PLTD_Sukamara_#02_(MAN),13,0.536,Oil,3,",,,
PLTD_Balai_Riam,13,0.54,Oil,3,",PLTD_Balai_Riam,13,0.54,Oil,3,",,,
PLTD_Balai_Sepuak,10,0.996,Oil,3,",PLTD_Balai_Sepuak,10,0.996,Oil,3,",,,
PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,13,2.66,Oil,3,",PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,13,2.66,Oil,3,",,,
PLTD_Belitang,10,3.3,Oil,3,",PLTD_Belitang,10,3.3,Oil,3,",,,
PLTD_Tapin_Bini,13,11.65,Oil,3,",PLTD_Tapin_Bini,13,11.65,Oil,3,",,,
PLTU_Sintang_#01,10,9,Coal,0.13,",PLTU_Sintang_#01,10,9,Coal,0.13,",,,
PLTU_Sintang_#02,10,9,Coal,0.13,",PLTU_Sintang_#02,10,9,Coal,0.13,",,,
PLTU_Sintang_#03,10,9,Coal,0.13,",PLTU_Sintang_#03,10,9,Coal,0.13,",,,
PLTD_Rayon_Nanga_Bulik,13,10.848,Oil,3,",PLTD_Rayon_Nanga_Bulik,13,10.848,Oil,3,",,,
PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,13,1.33,Oil,3,",PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,13,1.33,Oil,3,",,,
PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,13,2.66,Oil,3,",PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,13,2.66,Oil,3,",,,
PLTD_Menyurai,10,12.21,Oil,3,",PLTD_Menyurai,10,12.21,Oil,3,",,,
PLTD_Nanga_Merakai,10,0.6,Oil,3,",PLTD_Nanga_Merakai,10,0.6,Oil,3,",,,
PLTD_Kota_Baru,9,0.331,Oil,3,",PLTD_Kota_Baru,9,0.331,Oil,3,",,,
PLTD_Ketungau,10,0.213,Oil,3,",PLTD_Ketungau,10,0.213,Oil,3,",,,
PLTD_Nanga_Lebang,10,0.218,Oil,3,",PLTD_Nanga_Lebang,10,0.218,Oil,3,",,,
PLTD_Nanga_Sayan,9,1.029,Oil,3,",PLTD_Nanga_Sayan,9,1.029,Oil,3,",,,
PLTD_Kayan,9,0.337,Oil,3,",PLTD_Kayan,9,0.337,Oil,3,",,,
PLTD_Mentobi_Raya,13,1.7,Oil,3,",PLTD_Mentobi_Raya,13,1.7,Oil,3,",,,
PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),13,14,Coal,0.13,",PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),13,14,Coal,0.13,",,,
PLTD_Sidomulyo_Pinoh,9,0.576,Oil,3,",PLTD_Sidomulyo_Pinoh,9,0.576,Oil,3,",,,
PLTD_Kumai,13,11,Oil,3,",PLTD_Kumai,13,11,Oil,3,",,,
PLTD_Pangkalan_Bun,13,7.12,Oil,3,",PLTD_Pangkalan_Bun,13,7.12,Oil,3,",,,
PLTD_Sewa_PGL_Pangkalan_Bun,13,4,Oil,3,",PLTD_Sewa_PGL_Pangkalan_Bun,13,4,Oil,3,",,,
PLTD_Sewa_Kaltimex_Pangkalan_Bun,13,14,Oil,3,",PLTD_Sewa_Kaltimex_Pangkalan_Bun,13,14,Oil,3,",,,
PLTD_Kalan,9,0.17,Oil,3,",PLTD_Kalan,9,0.17,Oil,3,",,,
PLTD_Bora,9,1.078,Oil,3,",PLTD_Bora,9,1.078,Oil,3,",,,
PLTMH_Bora,9,0.2,Run_of_River,3,",PLTMH_Bora,9,0.2,Run_of_River,3,",,,
PLTD_Nanga_Silat,9,0.748,Oil,3,",PLTD_Nanga_Silat,9,0.748,Oil,3,",,,
PLTD_Kenambui,13,0.12,Oil,3,",PLTD_Kenambui,13,0.12,Oil,3,",,,
PLTD_Sewa_UPM_Pangkalan_Banteng,13,2.5,Oil,3,",PLTD_Sewa_UPM_Pangkalan_Banteng,13,2.5,Oil,3,",,,
PLTBm_Korintiga_Hutani,13,3,Biomass,3,",PLTBm_Korintiga_Hutani,13,3,Biomass,3,",,,
PLTMH_Serawak_Energi_BHD_Badau_(B),12,0.32,Run_of_River,3,",PLTMH_Serawak_Energi_BHD_Badau_(B),12,0.32,Run_of_River,3,",,,
PLTD_Seberuang,9,0.162,Oil,3,",PLTD_Seberuang,9,0.162,Oil,3,",,,
PLTD_Badau,9,2.085,Oil,3,",PLTD_Badau,9,2.085,Oil,3,",,,
PLTD_Pangkut,13,0.8,Oil,3,",PLTD_Pangkut,13,0.8,Oil,3,",,,
PLTD_Tumbang_Manjul,13,0.498,Oil,3,",PLTD_Tumbang_Manjul,13,0.498,Oil,3,",,,
PLTD_Semitau,9,4.748,Oil,3,",PLTD_Semitau,9,4.748,Oil,3,",,,
PLTBm_Kotawaringin_Barat,13,10,Biomass,3,",PLTBm_Kotawaringin_Barat,13,10,Biomass,3,",,,
PLTD_Pulau_Majang,9,0.156,Oil,3,",PLTD_Pulau_Majang,9,0.156,Oil,3,",,,
PLTD_Nanga_Ella,9,1.445,Oil,3,",PLTD_Nanga_Ella,9,1.445,Oil,3,",,,
PLTD_ULD_Tewah,14,1.584,Oil,3,",PLTD_ULD_Tewah,14,1.584,Oil,3,",,,
PLTD_Belikai,10,0.3,Oil,3,",PLTD_Belikai,10,0.3,Oil,3,",,,
PLTD_Nibung,10,0.08,Oil,3,",PLTD_Nibung,10,0.08,Oil,3,",,,
PLTD_Tebidah,10,0.36,Oil,3,",PLTD_Tebidah,10,0.36,Oil,3,",,,
PLTD_Rantau_Pulut,14,0.96,Oil,3,",PLTD_Rantau_Pulut,14,0.96,Oil,3,",,,
PLTD_Sukamandang,14,1.1,Oil,3,",PLTD_Sukamandang,14,1.1,Oil,3,",,,
PLTD_Tontang,9,0.216,Oil,3,",PLTD_Tontang,9,0.216,Oil,3,",,,
PLTD_Manukung,9,0.232,Oil,3,",PLTD_Manukung,9,0.232,Oil,3,",,,
PLTD_Lanjak,10,0.66,Oil,3,",PLTD_Lanjak,10,0.66,Oil,3,",,,
PLTD_Telaga_Pulang,15,0.45,Oil,3,",PLTD_Telaga_Pulang,15,0.45,Oil,3,",,,
PLTD_Jongkong,10,1.39,Oil,3,",PLTD_Jongkong,10,1.39,Oil,3,",,,
PLTD_Tepuai,10,3.99,Oil,3,",PLTD_Tepuai,10,3.99,Oil,3,",,,
PLTD_Ujung_Said,10,0.496,Oil,3,",PLTD_Ujung_Said,10,0.496,Oil,3,",,,
PLTD_ULD_Tumbang_Senamang,14,0.46,Oil,3,",PLTD_ULD_Tumbang_Senamang,14,0.46,Oil,3,",,,
PLTD_Serawai,9,1.896,Oil,3,",PLTD_Serawai,9,1.896,Oil,3,",,,
PLTBg_Sukajadi_Sawit_Mekar,14,2.4,Biomass,3,",PLTBg_Sukajadi_Sawit_Mekar,14,2.4,Biomass,3,",,,
PLTD_Ulak_Pauk,10,0.238,Oil,3,",PLTD_Ulak_Pauk,10,0.238,Oil,3,",,,
PLTBg_Maju_Aneka_Sawit,14,1,Biomass,3,",PLTBg_Maju_Aneka_Sawit,14,1,Biomass,3,",,,
