name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTD_ULD_Rantau_Bujur,31,0.42,Oil,3,",PLTD_ULD_Rantau_Bujur,31,0.42,Oil,3,",,,
PLTD_ULD_Benua_Riam,31,0.18,Oil,3,",PLTD_ULD_Benua_Riam,31,0.18,Oil,3,",,,
PLTD_Long_Bagun,44,0.3,Oil,3,",PLTD_Long_Bagun,44,0.3,Oil,3,",,,
PLTD_Long_Bagun_Pemkab,44,0.52,Oil,3,",PLTD_Long_Bagun_Pemkab,44,0.52,Oil,3,",,,
PLTD_Panangkalaan,34,8.534,Oil,3,",PLTD_Panangkalaan,34,8.534,Oil,3,",,,
PLTD_Barabai,32,6.672,Oil,3,",PLTD_Barabai,32,6.672,Oil,3,",,,
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,35,115,Coal,0.13,",PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,35,115,Coal,0.13,",,,
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,35,115,Coal,0.13,",PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,35,115,Coal,0.13,",,,
PLTU_PT._Makmur_Sejahtera_Wisesa,35,60,Coal,0.13,",PLTU_PT._Makmur_Sejahtera_Wisesa,35,60,Coal,0.13,",,,
PLTD_Maburai,35,1.88,Oil,3,",PLTD_Maburai,35,1.88,Oil,3,",,,
PLTD_Datah_Bilang,44,0.54,Oil,3,",PLTD_Datah_Bilang,44,0.54,Oil,3,",,,
PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),30,15,Coal,0.13,",PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),30,15,Coal,0.13,",,,
PLTD_Gunung_Purei_Unit_123,38,0.38,Oil,3,",PLTD_Gunung_Purei_Unit_123,38,0.38,Oil,3,",,,
PLTD_Long_Iram,45,1.44,Oil,3,",PLTD_Long_Iram,45,1.44,Oil,3,",,,
PLTD_Long_Iram_Pemkab,45,0.5,Oil,3,",PLTD_Long_Iram_Pemkab,45,0.5,Oil,3,",,,
PLTD_Krayan,61,0.8,Oil,3,",PLTD_Krayan,61,0.8,Oil,3,",,,
PLTMH_Krayan_Pemkab,61,0.08,Run_of_River,3,",PLTMH_Krayan_Pemkab,61,0.08,Run_of_River,3,",,,
PLTMH_Krayan,61,0.16,Run_of_River,3,",PLTMH_Krayan,61,0.16,Run_of_River,3,",,,
PLTD_Dilang_Putih,44,0.22,Oil,3,",PLTD_Dilang_Putih,44,0.22,Oil,3,",,,
PLTBg_Suka_Damai,29,2.4,Biomass,3,",PLTBg_Suka_Damai,29,2.4,Biomass,3,",,,
PLTD_Sewa_Sentawar_Pemkab_Kubar,53,5.2,Oil,3,",PLTD_Sewa_Sentawar_Pemkab_Kubar,53,5.2,Oil,3,",,,
PLTD_Sentawar,53,24.61,Oil,3,",PLTD_Sentawar,53,24.61,Oil,3,",,,
PLTBg_Rea_Kaltim,53,2,Biomass,3,",PLTBg_Rea_Kaltim,53,2,Biomass,3,",,,
PLTD_Marabatuan,26,0.3,Oil,3,",PLTD_Marabatuan,26,0.3,Oil,3,",,,
PLTD_Muara_Komam,39,2.79,Oil,3,",PLTD_Muara_Komam,39,2.79,Oil,3,",,,
PLTD_Kelumpang,53,0.12,Oil,3,",PLTD_Kelumpang,53,0.12,Oil,3,",,,
PLTD_Melak,53,24.61,Oil,3,",PLTD_Melak,53,24.61,Oil,3,",,,
PLTD_Melak_Sewatama,53,4,Oil,3,",PLTD_Melak_Sewatama,53,4,Oil,3,",,,
PLTD_Melak_Pemkab,53,5.2,Oil,3,",PLTD_Melak_Pemkab,53,5.2,Oil,3,",,,
PLTD_Melak_Kaltimex,53,6,Oil,3,",PLTD_Melak_Kaltimex,53,6,Oil,3,",,,
PLTD_Batu_Sopang,39,8.4,Oil,3,",PLTD_Batu_Sopang,39,8.4,Oil,3,",,,
PLTD_Tabisaq,39,0.52,Oil,3,",PLTD_Tabisaq,39,0.52,Oil,3,",,,
PLTD_Tabang,39,0.53,Oil,3,",PLTD_Tabang,39,0.53,Oil,3,",,,
PLTD_Sengayam,27,1.78,Oil,3,",PLTD_Sengayam,27,1.78,Oil,3,",,,
PLTU_Dua_Samudera_Perkasa_(DSP),27,6,Coal,0.13,",PLTU_Dua_Samudera_Perkasa_(DSP),27,6,Coal,0.13,",,,
PLTD_Lontar,26,2.62,Oil,3,",PLTD_Lontar,26,2.62,Oil,3,",,,
PLTD_Muara_Pahu,53,0.8,Oil,3,",PLTD_Muara_Pahu,53,0.8,Oil,3,",,,
PLTD_Kerang,40,0.96,Oil,3,",PLTD_Kerang,40,0.96,Oil,3,",,,
PLTD_Semaras,26,0.15,Oil,3,",PLTD_Semaras,26,0.15,Oil,3,",,,
PLTU_PT._Indocement_Tunggal_Perkasa,33,55,Coal,0.13,",PLTU_PT._Indocement_Tunggal_Perkasa,33,55,Coal,0.13,",,,
PLTU_PT._Smart_Tarjun_Refinery,33,3.2,Coal,0.13,",PLTU_PT._Smart_Tarjun_Refinery,33,3.2,Coal,0.13,",,,
PLTD_Long_Beluah,63,0.5,Oil,3,",PLTD_Long_Beluah,63,0.5,Oil,3,",,,
PLTD_Tanjung_Isuy,40,1.88,Oil,3,",PLTD_Tanjung_Isuy,40,1.88,Oil,3,",,,
PLTD_Sei_Durian,35,1.09,Oil,3,",PLTD_Sei_Durian,35,1.09,Oil,3,",,,
PLTD_Kerumputan,25,0.46,Oil,3,",PLTD_Kerumputan,25,0.46,Oil,3,",,,
PLTD_Tanah_Grogot,41,3.19,Oil,3,",PLTD_Tanah_Grogot,41,3.19,Oil,3,",,,
PLTD_Sampanahan,35,1.77,Oil,3,",PLTD_Sampanahan,35,1.77,Oil,3,",,,
PLTD_Bakau,35,0.46,Oil,3,",PLTD_Bakau,35,0.46,Oil,3,",,,
PLTD_Kerasian,25,0.33,Oil,3,",PLTD_Kerasian,25,0.33,Oil,3,",,,
PLTD_Geronggang,35,1.85,Oil,3,",PLTD_Geronggang,35,1.85,Oil,3,",,,
PLTD_Kerayaan,25,0.61,Oil,3,",PLTD_Kerayaan,25,0.61,Oil,3,",,,
PLTD_Kotabaru,22,15.47,Oil,3,",PLTD_Kotabaru,22,15.47,Oil,3,",,,
PLTD_Sewa_Kaltimex_Kotabaru,22,5.1,Oil,3,",PLTD_Sewa_Kaltimex_Kotabaru,22,5.1,Oil,3,",,,
PLTD_Tanjung_Batu,22,1,Oil,3,",PLTD_Tanjung_Batu,22,1,Oil,3,",,,
PLTD_Penyinggahan,41,0.56,Oil,3,",PLTD_Penyinggahan,41,0.56,Oil,3,",,,
PLTD_Mara,63,0.5,Oil,3,",PLTD_Mara,63,0.5,Oil,3,",,,
PLTD_Jantur,51,0.724,Oil,3,",PLTD_Jantur,51,0.724,Oil,3,",,,
PLTD_Gn._Batu_Besar,22,0.51,Oil,3,",PLTD_Gn._Batu_Besar,22,0.51,Oil,3,",,,
PLTD_Muara_Kedang,41,0.42,Oil,3,",PLTD_Muara_Kedang,41,0.42,Oil,3,",,,
PLTD_Tanjung_Seloka,25,1.75,Oil,3,",PLTD_Tanjung_Seloka,25,1.75,Oil,3,",,,
PLTD_Mulyaharja,22,0.43,Oil,3,",PLTD_Mulyaharja,22,0.43,Oil,3,",,,
PLTD_Muara_Aloh,42,0.16,Oil,3,",PLTD_Muara_Aloh,42,0.16,Oil,3,",,,
PLTD_Gemar_Baru,59,0.48,Oil,3,",PLTD_Gemar_Baru,59,0.48,Oil,3,",,,
PLTD_Gemar_Baru_Pemkab,59,0.2,Oil,3,",PLTD_Gemar_Baru_Pemkab,59,0.2,Oil,3,",,,
PLTD_Sei_Bali,25,1.67,Oil,3,",PLTD_Sei_Bali,25,1.67,Oil,3,",,,
PLTD_Tanjung_Samalantakan,35,0.49,Oil,3,",PLTD_Tanjung_Samalantakan,35,0.49,Oil,3,",,,
PLTD_Semayang,42,0.18,Oil,3,",PLTD_Semayang,42,0.18,Oil,3,",,,
PLTD_Muara_Muntai,42,1.5,Oil,3,",PLTD_Muara_Muntai,42,1.5,Oil,3,",,,
PLTD_Lumbis_Ogong,61,0.5,Oil,3,",PLTD_Lumbis_Ogong,61,0.5,Oil,3,",,,
PLTS_Lumbis_Ogong_ESDM,61,0.1,Solar,0.37,",PLTS_Lumbis_Ogong_ESDM,61,0.1,Solar,0.37,",,,
PLTD_Tanjung_Aru,42,0.4,Oil,3,",PLTD_Tanjung_Aru,42,0.4,Oil,3,",,,
PLTD_Malinau,60,10.64,Oil,3,",PLTD_Malinau,60,10.64,Oil,3,",,,
PLTD_Malinau_Pemkab,60,7.672,Oil,3,",PLTD_Malinau_Pemkab,60,7.672,Oil,3,",,,
PLTD_Malinau_Kaltimex,60,2,Oil,3,",PLTD_Malinau_Kaltimex,60,2,Oil,3,",,,
PLTD_Senyiur,53,0.48,Oil,3,",PLTD_Senyiur,53,0.48,Oil,3,",,,
PLTD_Senyiur_Pemkab,53,0.4,Oil,3,",PLTD_Senyiur_Pemkab,53,0.4,Oil,3,",,,
PLTD_Muara_Siran,53,0.18,Oil,3,",PLTD_Muara_Siran,53,0.18,Oil,3,",,,
PLTD_Petung,53,5.812,Oil,3,",PLTD_Petung,53,5.812,Oil,3,",,,
PLTD_Muara_Bengkal,59,4.548,Oil,3,",PLTD_Muara_Bengkal,59,4.548,Oil,3,",,,
PLTD_Jenebora/Gresik,43,0.76,Oil,3,",PLTD_Jenebora/Gresik,43,0.76,Oil,3,",,,
PLTD_Long_Peso,60,0.443,Oil,3,",PLTD_Long_Peso,60,0.443,Oil,3,",,,
PLTU_Teluk_Balikpapan_#01,43,110,Coal,0.13,",PLTU_Teluk_Balikpapan_#01,43,110,Coal,0.13,",,,
PLTU_Teluk_Balikpapan_#02,43,110,Coal,0.13,",PLTU_Teluk_Balikpapan_#02,43,110,Coal,0.13,",,,
PLTU_Kariangau_(PT._Kariangau_Power)_#01,44,15,Coal,0.13,",PLTU_Kariangau_(PT._Kariangau_Power)_#01,44,15,Coal,0.13,",,,
PLTU_Kariangau_(PT._Kariangau_Power)_#02,44,15,Coal,0.13,",PLTU_Kariangau_(PT._Kariangau_Power)_#02,44,15,Coal,0.13,",,,
PLTD_Sedulang,44,0.44,Oil,3,",PLTD_Sedulang,44,0.44,Oil,3,",,,
PLTD_Long_Segar,44,0.44,Oil,3,",PLTD_Long_Segar,44,0.44,Oil,3,",,,
PLTD_Batu_Ampar,47,0.4,Oil,3,",PLTD_Batu_Ampar,47,0.4,Oil,3,",,,
PLTU_PT._Kalimantan_Powerindo,44,15,Coal,0.13,",PLTU_PT._Kalimantan_Powerindo,44,15,Coal,0.13,",,,
PLTD_Gunung_Malang,47,20.08,Oil,3,",PLTD_Gunung_Malang,47,20.08,Oil,3,",,,
PLTD_Muara_Wahau,47,6.894,Oil,3,",PLTD_Muara_Wahau,47,6.894,Oil,3,",,,
PLTD_Muara_Wahau_Altrak,47,3,Oil,3,",PLTD_Muara_Wahau_Altrak,47,3,Oil,3,",,,
PLTD_CDE_Karang_Joang_(MFO),45,30,Oil,3,",PLTD_CDE_Karang_Joang_(MFO),45,30,Oil,3,",,,
PLTD_KTT_Pemkab,61,3.68,Oil,3,",PLTD_KTT_Pemkab,61,3.68,Oil,3,",,,
PLTD_KTT,61,3.81,Oil,3,",PLTD_KTT,61,3.81,Oil,3,",,,
PLTD_Batakan_Unit,46,12.16,Oil,3,",PLTD_Batakan_Unit,46,12.16,Oil,3,",,,
PLTD_Cogindo_(MFO),46,40,Oil,3,",PLTD_Cogindo_(MFO),46,40,Oil,3,",,,
PLTD_Tulin_Onsoi,61,1,Oil,3,",PLTD_Tulin_Onsoi,61,1,Oil,3,",,,
PLTS_Tulin_Onsoi_ESDM,61,0.1,Solar,0.37,",PLTS_Tulin_Onsoi_ESDM,61,0.1,Solar,0.37,",,,
PLTD_Sebuku,61,0.695,Oil,3,",PLTD_Sebuku,61,0.695,Oil,3,",,,
PLTS_Sebuku_ESDM,61,0.1,Solar,0.37,",PLTS_Sebuku_ESDM,61,0.1,Solar,0.37,",,,
PLTU_Rimba_Raya,52,7.5,Coal,0.13,",PLTU_Rimba_Raya,52,7.5,Coal,0.13,",,,
PLTD_Atap,61,0.3,Oil,3,",PLTD_Atap,61,0.3,Oil,3,",,,
PLTGU_Tanjung_Batu_#01,52,20,Oil,3,",PLTGU_Tanjung_Batu_#01,52,20,Oil,3,",,,
PLTGU_Tanjung_Batu_#02,52,20,Oil,3,",PLTGU_Tanjung_Batu_#02,52,20,Oil,3,",,,
PLTGU_Tanjung_Batu_#03,52,20,Oil,3,",PLTGU_Tanjung_Batu_#03,52,20,Oil,3,",,,
PLTG_Peaking_#01,51,70,Oil,3,",PLTG_Peaking_#01,51,70,Oil,3,",,,
PLTG_Peaking_#02,51,70,Oil,3,",PLTG_Peaking_#02,51,70,Oil,3,",,,
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,51,25,Coal,0.13,",PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,51,25,Coal,0.13,",,,
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,51,25,Coal,0.13,",PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,51,25,Coal,0.13,",,,
PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),51,50,Coal,0.13,",PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),51,50,Coal,0.13,",,,
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,51,115,Coal,0.13,",PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,51,115,Coal,0.13,",,,
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,51,115,Coal,0.13,",PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,51,115,Coal,0.13,",,,
PLTD_Sekatak_Pemkab,61,0.426,Oil,3,",PLTD_Sekatak_Pemkab,61,0.426,Oil,3,",,,
PLTD_Sekatak,61,0.6,Oil,3,",PLTD_Sekatak,61,0.6,Oil,3,",,,
PLTU_Senoni_#01,49,7.5,Coal,0.13,",PLTU_Senoni_#01,49,7.5,Coal,0.13,",,,
PLTU_Senoni_#02,49,7.5,Coal,0.13,",PLTU_Senoni_#02,49,7.5,Coal,0.13,",,,
PLTD_Karang_Asam,50,40,Oil,3,",PLTD_Karang_Asam,50,40,Oil,3,",,,
PLTD_Gunung_Sari,62,0.57,Oil,3,",PLTD_Gunung_Sari,62,0.57,Oil,3,",,,
PLTBm_Gunung_Sari_HHM,62,0.2,Biomass,3,",PLTBm_Gunung_Sari_HHM,62,0.2,Biomass,3,",,,
PLTD_Kledang,50,40.03,Oil,3,",PLTD_Kledang,50,40.03,Oil,3,",,,
PLTG_Senipah_#01,48,46,Gas,0.13,",PLTG_Senipah_#01,48,46,Gas,0.13,",,,
PLTG_Senipah_#02,48,46,Gas,0.13,",PLTG_Senipah_#02,48,46,Gas,0.13,",,,
PLTGU_Senipah_(ST),48,29.55,Gas,0.13,",PLTGU_Senipah_(ST),48,29.55,Gas,0.13,",,,
PLTU_Mangkujenang,54,4,Coal,0.13,",PLTU_Mangkujenang,54,4,Coal,0.13,",,,
PLTU_MT_Kaltim_(Muara_Jawa)_#01,55,33,Coal,0.13,",PLTU_MT_Kaltim_(Muara_Jawa)_#01,55,33,Coal,0.13,",,,
PLTU_MT_Kaltim_(Muara_Jawa)_#02,55,33,Coal,0.13,",PLTU_MT_Kaltim_(Muara_Jawa)_#02,55,33,Coal,0.13,",,,
PLTD_Merasa,56,0.28,Oil,3,",PLTD_Merasa,56,0.28,Oil,3,",,,
PLTG_Sambera_#01,57,20,Oil,3,",PLTG_Sambera_#01,57,20,Oil,3,",,,
PLTG_Sambera_#02,57,20,Oil,3,",PLTG_Sambera_#02,57,20,Oil,3,",,,
PLTD_Seimenggaris,61,0.6,Oil,3,",PLTD_Seimenggaris,61,0.6,Oil,3,",,,
PLTS_Seimenggaris_ESDM,61,0.1,Solar,0.37,",PLTS_Seimenggaris_ESDM,61,0.1,Solar,0.37,",,,
PLTMG_Tanjung_Selor_Unit_2,63,8.912,Gas,0.13,",PLTMG_Tanjung_Selor_Unit_2,63,8.912,Gas,0.13,",,,
PLTMG_Tanjung_Selor_Unit_1,63,8.912,Gas,0.13,",PLTMG_Tanjung_Selor_Unit_1,63,8.912,Gas,0.13,",,,
PLTD_Selor,63,19.384,Oil,3,",PLTD_Selor,63,19.384,Oil,3,",,,
PLTD_Selor_Sewatama,63,2,Oil,3,",PLTD_Selor_Sewatama,63,2,Oil,3,",,,
PLTD_Selor_Makro,63,7.3,Oil,3,",PLTD_Selor_Makro,63,7.3,Oil,3,",,,
PLTU_Tanjung_Redep_/_Berau_#02,58,9.13,Coal,0.13,",PLTU_Tanjung_Redep_/_Berau_#02,58,9.13,Coal,0.13,",,,
PLTU_Tanjung_Redep_/_Berau_#01,58,9.5,Coal,0.13,",PLTU_Tanjung_Redep_/_Berau_#01,58,9.5,Coal,0.13,",,,
PLTMG_Belimbing,58,8,Gas,0.13,",PLTMG_Belimbing,58,8,Gas,0.13,",,,
PLTMG_Bontang_Wartsila_#01,58,6.97,Gas,0.13,",PLTMG_Bontang_Wartsila_#01,58,6.97,Gas,0.13,",,,
PLTMG_MPP_Kaltim_#03,58,9.78,Gas,0.13,",PLTMG_MPP_Kaltim_#03,58,9.78,Gas,0.13,",,,
PLTMG_MPP_Kaltim_#04,58,9.78,Gas,0.13,",PLTMG_MPP_Kaltim_#04,58,9.78,Gas,0.13,",,,
PLTMG_MPP_Kaltim_#01,58,9.78,Gas,0.13,",PLTMG_MPP_Kaltim_#01,58,9.78,Gas,0.13,",,,
PLTMG_MPP_Kaltim_#02,58,9.78,Gas,0.13,",PLTMG_MPP_Kaltim_#02,58,9.78,Gas,0.13,",,,
PLTMG_Bontang_Wartsila_#02,58,6.97,Gas,0.13,",PLTMG_Bontang_Wartsila_#02,58,6.97,Gas,0.13,",,,
PLTD_Bontang,58,27.59,Oil,3,",PLTD_Bontang,58,27.59,Oil,3,",,,
PLTU_Kaltim_(FTP2)_Unit_1,58,100,Coal,0.13,",PLTU_Kaltim_(FTP2)_Unit_1,58,100,Coal,0.13,",,,
PLTU_Kaltim_(FTP2)_Unit_2,58,125,Coal,0.13,",PLTU_Kaltim_(FTP2)_Unit_2,58,125,Coal,0.13,",,,
PLTU_PT._Kaltim_Daya_Mandiri,58,34,Coal,0.13,",PLTU_PT._Kaltim_Daya_Mandiri,58,34,Coal,0.13,",,,
PLTD_Sambaliung,59,15.918,Oil,3,",PLTD_Sambaliung,59,15.918,Oil,3,",,,
PLTD_Samabliung_Kaltimex,59,3,Oil,3,",PLTD_Samabliung_Kaltimex,59,3,Oil,3,",,,
PLTU_PT._Sumber_Alam_Sekurau_(SAS),63,7.5,Coal,0.13,",PLTU_PT._Sumber_Alam_Sekurau_(SAS),63,7.5,Coal,0.13,",,,
PLTD_Tanah_Merah,61,0.43,Oil,3,",PLTD_Tanah_Merah,61,0.43,Oil,3,",,,
PLTD_Sepaso,58,4.49,Oil,3,",PLTD_Sepaso,58,4.49,Oil,3,",,,
PLTD_Sepaso_Pemkab,58,0.92,Oil,3,",PLTD_Sepaso_Pemkab,58,0.92,Oil,3,",,,
PLTD_Muara_Pantuan,56,0.36,Oil,3,",PLTD_Muara_Pantuan,56,0.36,Oil,3,",,,
PLTS_Kayan_Hulu_ESDM,60,0.1,Solar,0.37,",PLTS_Kayan_Hulu_ESDM,60,0.1,Solar,0.37,",,,
PLTD_Tarakan,60,15.264,Oil,3,",PLTD_Tarakan,60,15.264,Oil,3,",,,
PLTD_Sewa_Tarakan,60,17,Oil,3,",PLTD_Sewa_Tarakan,60,17,Oil,3,",,,
PLTMG_Gunung_Belah_#01,60,6,Gas,0.13,",PLTMG_Gunung_Belah_#01,60,6,Gas,0.13,",,,
PLTMG_Gunung_Belah_#02,60,6,Gas,0.13,",PLTMG_Gunung_Belah_#02,60,6,Gas,0.13,",,,
PLTG_PLN_Tarakan_#01,60,15.7,Gas,0.13,",PLTG_PLN_Tarakan_#01,60,15.7,Gas,0.13,",,,
PLTMG_PLN_Tarakan,60,30,Gas,0.13,",PLTMG_PLN_Tarakan,60,30,Gas,0.13,",,,
PLTG_PLN_Tarakan_#02,60,23.6,Gas,0.13,",PLTG_PLN_Tarakan_#02,60,23.6,Gas,0.13,",,,
PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),60,7,Coal,0.13,",PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),60,7,Coal,0.13,",,,
PLTU_Lati_(PT._Indo_Pusaka_Berau),59,21,Coal,0.13,",PLTU_Lati_(PT._Indo_Pusaka_Berau),59,21,Coal,0.13,",,,
PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,59,18,Coal,0.13,",PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,59,18,Coal,0.13,",,,
PLTD_Nunukan,61,11.198,Oil,3,",PLTD_Nunukan,61,11.198,Oil,3,",,,
PLTD_Nunukan_Pemkab,61,7.02,Oil,3,",PLTD_Nunukan_Pemkab,61,7.02,Oil,3,",,,
PLTD_Karangan,59,1,Oil,3,",PLTD_Karangan,59,1,Oil,3,",,,
PLTBm_Karangan_DL,59,0.35,Biomass,3,",PLTBm_Karangan_DL,59,0.35,Biomass,3,",,,
PLTD_Pengadan,59,0.62,Oil,3,",PLTD_Pengadan,59,0.62,Oil,3,",,,
PLTS_Sebatik_ESDM,61,0.2,Solar,0.37,",PLTS_Sebatik_ESDM,61,0.2,Solar,0.37,",,,
PLTD_Bunyu,60,1,Oil,3,",PLTD_Bunyu,60,1,Oil,3,",,,
PLTD_Tubaan,59,0.455,Oil,3,",PLTD_Tubaan,59,0.455,Oil,3,",,,
PLTD_Sebatik,61,6.712,Oil,3,",PLTD_Sebatik,61,6.712,Oil,3,",,,
PLTS_Sebatik,61,0.34,Solar,0.37,",PLTS_Sebatik,61,0.34,Solar,0.37,",,,
PLTD_Sangkulirang,59,3,Oil,3,",PLTD_Sangkulirang,59,3,Oil,3,",,,
PLTD_Sangkulirang_Pemkab,59,0.8,Oil,3,",PLTD_Sangkulirang_Pemkab,59,0.8,Oil,3,",,,
PLTD_Tanjung_Batu,32,1.43,Oil,3,",PLTD_Tanjung_Batu,32,1.43,Oil,3,",,,
PLTD_Talisayan_Pemkab,59,0.8,Oil,3,",PLTD_Talisayan_Pemkab,59,0.8,Oil,3,",,,
PLTD_Talisayan,59,2.25,Oil,3,",PLTD_Talisayan,59,2.25,Oil,3,",,,
PLTD_Talisayan_PT_IPB,59,1,Oil,3,",PLTD_Talisayan_PT_IPB,59,1,Oil,3,",,,
PLTBm_Talisayan_DL,59,0.26,Biomass,3,",PLTBm_Talisayan_DL,59,0.26,Biomass,3,",,,
PLTD_Derawan,59,1.27,Oil,3,",PLTD_Derawan,59,1.27,Oil,3,",,,
PLTS_Derawan,59,0.09,Oil,3,",PLTS_Derawan,59,0.09,Oil,3,",,,
PLTD_Batu_Putih,59,0.82,Oil,3,",PLTD_Batu_Putih,59,0.82,Oil,3,",,,
PLTD_Biduk-Biduk,59,1.64,Oil,3,",PLTD_Biduk-Biduk,59,1.64,Oil,3,",,,
