type,node0,node1,coords0,coords1,lon0,lat0,lon1,lat1,length_m
substation,GI_Kariangau,GI_Karangjoang,"116.792,-1.1657","116.8777,-1.1488",116.792,-1.1657,116.8777,-1.1488,11473
substation,GI_Karangjoang,GI_Manggar_Sari,"116.8777,-1.1488","116.9488,-1.2383",116.8777,-1.1488,116.9488,-1.2383,13749
substation,GI_Manggar_Sari,GI_Industri,"116.9488,-1.2383","116.8411,-1.262",116.9488,-1.2383,116.8411,-1.262,13615
substation,GI_Manggar_Sari,GI_Senipah,"116.9488,-1.2383","117.135,-0.9869",116.9488,-1.2383,117.135,-0.9869,42687
substation,GI_Karangjoang,GI_Harapan_Baru,"116.8777,-1.1488","117.1063,-0.547",116.8777,-1.1488,117.1063,-0.547,75274
substation,GI_Harapan_Baru,GI_Tengkawang,"117.1063,-0.547","117.1136,-0.5024",117.1063,-0.547,117.1136,-0.5024,8310
substation,GI_Tengkawang,GI_Embalut,"117.1136,-0.5024","117.0518,-0.3816",117.1136,-0.5024,117.0518,-0.3816,15935
substation,GI_Embalut,GI_Bukit_Biru,"117.0518,-0.3816","116.978,-0.456",117.0518,-0.3816,116.978,-0.456,20491
substation,GI_Bukit_Biru,GI_Kotabangun,"116.978,-0.456","116.5953,-0.2716",116.978,-0.456,116.5953,-0.2716,53727
substation,GI_Harapan_Baru,GI_Bukuan,"117.1063,-0.547","117.193,-0.5832",117.1063,-0.547,117.193,-0.5832,10867
substation,GI_Bukuan,GI_Muara_Jawa,"117.193,-0.5832","117.1886,-0.7806",117.193,-0.5832,117.1886,-0.7806,28882
substation,GI_Bukuan,GI_Sambutan,"117.193,-0.5832","117.2139,-0.5242",117.193,-0.5832,117.2139,-0.5242,7177
substation,GI_Sambutan,GI_Muara_Badak,"117.2139,-0.5242","117.2925,-0.316",117.2139,-0.5242,117.2925,-0.316,27134
substation,GI_Muara_Badak,GI_Teluk_Pandan,"117.2925,-0.316","117.435,0.1614",117.2925,-0.316,117.435,0.1614,57500
substation,GI_Teluk_Pandan,GI_Sangatta,"117.435,0.1614","117.5693,0.4701",117.435,0.1614,117.5693,0.4701,42347
substation,GI_Malinau,GI_Tideng_Pale,"116.6286,3.5114","116.8411,3.5748",116.6286,3.5114,116.8411,3.5748,28625
generator,PLTD_Trisakti,,,,114.572,-3.31,,,
generator,PLTD_Kuala_Kapuas,,,,114.374,-3.012,,,
generator,PLTD_Barabai,,,,115.376,-2.593,,,
generator,PLTD_Panangkalaan,,,,115.262,-2.404,,,
generator,PLTD_Maburai,,,,115.45,-2.195,,,
generator,PLTA_IR._PM_Noor,,,,115.008,-3.516,,,
generator,PLTD_Asam_Asam,,,,115.105,-3.925,,,
generator,PLTD_Karang_Asam,,,,117.114,-0.502,,,
generator,PLTD_Bontang,,,,117.459,0.145,,,
generator,PLTD_Kledang,,,,117.122,-0.523,,,
generator,PLTU_Mangkujenang,,,,117.156,-0.539,,,
generator,PLTD_Tanah_Grogot,,,,116.18,-1.888,,,
generator,PLTD_Petung,,,,116.67,-1.342,,,
generator,PLTD_Batu_Sopang,,,,115.912,-1.82,,,
generator,PLTD_Long_Ikis,,,,116.187,-1.6,,,
generator,PLTD_Gunung_Malang,,,,116.841,-1.263,,,
generator,PLTD_Batakan_Unit,,,,116.951,-1.238,,,
generator,PLTD_Cogindo_(MFO),,,,116.951,-1.238,,,
generator,PLTD_CDE_Karang_Joang_(MFO),,,,116.878,-1.149,,,
generator,PLTD_Muara_Komam,,,,115.812,-1.675,,,
generator,PLTD_Kerang,,,,116.082,-2.239,,,
generator,PLTD_Tanjung_Aru,,,,116.584,-2.175,,,
generator,PLTD_Jenebora/Gresik,,,,116.735,-1.186,,,
generator,PLTD_Siantan,,,,109.327,-0.002,,,
generator,PLTD_Sei_Raya,,,,109.38,-0.072,,,
generator,PLTD_Sudirman,,,,108.998,0.911,,,
generator,PLTD_Sei_Wie,,,,108.987,0.926,,,
generator,PLTBm_PT._Rezeki,,,,109.286,0.011,,,
generator,PLTD_Sewa_Ake,,,,109.328,-0.001,,,
generator,PLTD_Artiduta,,,,109.38,-0.074,,,
generator,PLTD_Bugak_Berawang,,,,109.203,0.061,,,
generator,PLTA_SESCO_275,,,,110.35,1.354,,,
generator,PLTD_Muara_Bengkal,,,,116.674,0.437,,,
generator,PLTD_Muara_Wahau,,,,116.843,1.045,,,
generator,PLTD_Sepaso,,,,117.561,0.756,,,
generator,PLTD_Sepaso_Pemkab,,,,117.561,0.756,,,
generator,PLTD_Sepaso_KPC,,,,117.561,0.756,,,
generator,PLTD_Sepaso_Altrak,,,,117.561,0.756,,,
generator,PLTD_Sangkulirang,,,,117.98,0.986,,,
generator,PLTD_Sangkulirang_Pemkab,,,,117.98,0.986,,,
generator,PLTD_Sewa_Sentawar_Pemkab_Kubar,,,,115.801,-0.242,,,
generator,PLTD_Sentawar,,,,115.801,-0.242,,,
generator,PLTD_Melak,,,,115.831,-0.212,,,
generator,PLTD_Sambaliung,,,,117.511,2.158,,,
generator,PLTD_Malinau,,,,116.611,3.541,,,
generator,PLTD_Selor,,,,117.386,2.832,,,
generator,PLTD_Kahayan/Area_Palangka_Raya,,,,113.874,-1.827,,,
generator,PLTD_Rayon_Sampit,,,,112.969,-2.516,,,
generator,PLTD_Pangkalan_Bun,,,,111.731,-2.73,,,
generator,PLTD_Rayon_Nanga_Bulik,,,,111.469,-2.187,,,
generator,PLTD_Sewa_PGL_Pangkalan_Bun,,,,111.731,-2.73,,,
generator,PLTD_Sewa_Kaltimex_Pangkalan_Bun,,,,111.731,-2.73,,,
generator,PLTD_Sewa_UPM_Pangkalan_Banteng,,,,111.824,-2.607,,,
generator,PLTD_Sewa_Kaltimex_Sampit,,,,112.97,-2.516,,,
generator,PLTD_Kotabaru,,,,116.212,-3.254,,,
generator,PLTBm_Kotawaringin_Barat,,,,111.967,-2.052,,,
generator,PLTD_Kumai,,,,111.728,-2.725,,,
generator,PLTD_Muara_Teweh,,,,114.883,-0.926,,,
generator,PLTD_Puruk_Cahu,,,,114.583,-0.583,,,
generator,PLTD_Buntok,,,,114.822,-1.745,,,
generator,PLTD_Sukaharja,,,,109.977,-1.802,,,
generator,PLTD_Kendawangan_Kanan,,,,110.207,-2.532,,,
generator,PLTD_Air_Hitam,,,,110.625,-2.793,,,
generator,PLTD_Tanjung_Satai,,,,109.682,-1.208,,,
generator,PLTD_Dusun_Besar,,,,109.461,-1.11,,,
generator,PLTD_Sandai,,,,110.524,-1.234,,,
generator,PLTD_Balai_Bekuak,,,,110.369,-0.522,,,
generator,PLTD_Aur_Kuning,,,,110.486,-0.954,,,
generator,PLTD_Ulak_Medang,,,,110.29,-1.678,,,
generator,PLTD_Sampurna,,,,110.455,-1.184,,,
generator,PLTD_Tumbang_Titi,,,,110.611,-1.846,,,
generator,PLTD_Manis_Mata,,,,111.028,-2.448,,,
generator,PLTD_Marau,,,,110.708,-2.125,,,
generator,PLTMH_Batu_Menang,,,,110.959,-1.984,,,
generator,PLTD_Nanga_Tayap,,,,110.563,-1.516,,,
generator,PLTD_Teluk_Melano,,,,109.951,-1.135,,,
generator,PLTD_Air_Upas,,,,110.8,-2.303,,,
generator,PLTBm_PT_Alas_Kusuma,,,,109.972,-1.782,,,
