node,name,type,lon,lat
114,PLTD_Puruk_Cahu,generator,114.5830,-0.5830
115,PLTD_Buntok,generator,114.8220,-1.7450
116,PLTD_Sukaharja,generator,109.9770,-1.8020
117,PLTD_Kendawangan_Kanan,generator,110.2070,-2.5320
118,PLTD_Air_Hitam,generator,110.6250,-2.7930
119,PLTD_Tanjung_Satai,generator,109.6820,-1.2080
120,PLTD_Dusun_Besar,generator,109.4610,-1.1100
121,PLTD_Sandai,generator,110.5240,-1.2340
122,PLTD_Balai_Bekuak,generator,110.3690,-0.5220
123,PLTD_Aur_Kuning,generator,110.4860,-0.9540
124,PLTD_Ulak_Medang,generator,110.2900,-1.6780
125,PLTD_Sampurna,generator,110.4550,-1.1840
126,PLTD_Tumbang_Titi,generator,110.6110,-1.8460
127,PLTD_Manis_Mata,generator,111.0280,-2.4480
128,PLTD_Marau,generator,110.7080,-2.1250
129,PLTMH_Batu_Menang,generator,110.9590,-1.9840
130,PLTD_Nanga_Tayap,generator,110.5630,-1.5160
131,PLTD_Teluk_Melano,generator,109.9510,-1.1350
132,PLTD_Air_Upas,generator,110.8000,-2.3030
133,PLTBm_PT_Alas_Kusuma,generator,109.9720,-1.7820
134,PLTD_Sambas,generator,109.2960,1.3600
135,PLTMH_Sajingan,generator,109.6430,1.6200
136,PLTD_Bengkayang,generator,109.4770,0.8190
137,PLTMH_Merasap,generator,109.7440,1.1240
138,PLTD_Cempaka_Putih,generator,110.0570,1.0730
139,PLTD_Lemukutan,generator,108.7120,0.7600
140,PLTD_Area_Singkawang,generator,108.9800,0.9120
141,PLTS_Temajuk,generator,109.5970,2.0070
142,PLTS_Sidding,generator,110.0710,1.2520
143,PLTD_Temajuk,generator,109.6020,1.9970
144,PLTMH_Serawak_Energi_BHD_Sajingan_(B),generator,109.6800,1.6090
145,PLTD_Pulau_Limbung,generator,109.8590,-0.2680
146,PLTS_Pulau_Limbung,generator,109.8590,-0.2680
147,PLTD_Tanjung_Saleh,generator,109.1480,-0.1080
148,PLTD_Sepuk_Laut,generator,109.0780,-0.2220
149,PLTD_Ngabang,generator,109.8640,0.3860
150,PLTD_Padang_Tikar,generator,109.2720,0.6820
151,PLTD_Batu_Ampar,generator,109.5370,0.7490
152,PLTBm_PT_Harjohn_Timber,generator,109.4470,-0.1790
153,PLTD_Semboja,generator,110.5600,0.1350
154,PLTD_Teraju,generator,110.1040,-0.2300
155,PLTD_Kuala_Buayan,generator,110.3820,0.1060
156,PLTD_Balai_Karangan,generator,110.8280,0.4350
157,PLTD_Sekadau,generator,110.8900,0.0210
158,PLTD_Belitang,generator,111.2400,0.1310
159,PLTD_Balai_Sepuak,generator,111.2060,0.4420
160,PLTD_Menyurai,generator,111.5110,0.0860
161,PLTD_Nanga_Silat,generator,111.7880,0.3430
162,PLTD_Senaning,generator,111.0320,0.9080
163,PLTD_Nanga_Merakai,generator,111.5170,0.6880
164,PLTD_Ketungau,generator,111.6200,0.3570
165,PLTD_Tebidah,generator,112.1840,0.2520
166,PLTD_Sinar_Pekayau,generator,111.0820,0.3330
167,PLTD_Nanga_Lebang,generator,111.6440,0.2180
168,PLTD_Sidomulyo_Pinoh,generator,111.7070,-0.3420
169,PLTD_Kota_Baru,generator,111.5420,-0.8000
170,PLTD_Serawai,generator,112.4390,-0.3310
171,PLTD_Manukung,generator,112.2270,-0.4180
172,PLTD_Nanga_Ella,generator,112.0030,-0.3980
173,PLTD_Nanga_Sayan,generator,111.6760,-0.7140
174,PLTD_Bora,generator,111.7640,-0.6280
175,PLTMH_Bora,generator,111.7750,-0.6330
176,PLTD_Tontang,generator,112.2230,-0.2690
177,PLTD_Kalan,generator,111.7410,-0.3360
178,PLTD_Kayan,generator,111.6900,-0.1720
179,PLTD_Kemangai,generator,112.7100,-0.2430
180,PLTD_Sawai,generator,112.9270,0.8850
181,PLTD_Semitau,generator,111.9600,0.5430
182,PLTD_Bunut,generator,112.6550,0.5280
183,PLTD_Jongkong,generator,112.2780,0.6650
184,PLTD_Embaloh,generator,112.6020,0.8310
185,PLTD_Lanjak,generator,112.2380,1.0340
186,PLTD_Tepuai,generator,112.3030,0.3700
187,PLTD_Seberuang,generator,111.8880,0.4650
188,PLTD_Nanga_Erak,generator,113.1540,0.3720
189,PLTD_Belikai,generator,112.1370,0.3300
190,PLTD_Kantuk,generator,110.6070,0.1240
191,PLTD_Piasak,generator,112.7230,0.6590
192,PLTD_Nibung,generator,112.1780,0.3340
193,PLTD_Ujung_Said,generator,112.3780,0.6700
194,PLTD_Pulau_Majang,generator,111.9940,0.9010
195,PLTD_Ulak_Pauk,generator,112.4910,1.0620
196,PLTD_Badau,generator,111.9030,1.0440
197,PLTD_Jasa,generator,111.1480,1.0040
198,PLTMH_Serawak_Energi_BHD_Badau_(B),generator,111.8720,1.0330
199,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),generator,110.3550,0.9880
200,PLTD_ULD_Benua_Riam,generator,115.2260,-3.0940
201,PLTD_ULD_Rantau_Bujur,generator,115.1990,-3.0820
202,PLTD_ULD_Tumbang_Jutuh,generator,113.5720,-1.2890
203,PLTD_ULD_Tumbang_Talaken,generator,113.3780,-1.3610
204,PLTD_ULD_Tewah,generator,112.1220,-1.9360
205,PLTD_ULD_Tumbang_Miri,generator,113.5500,-0.9160
206,PLTD_ULD_Tumbang_Tambirah,generator,113.8230,-1.0650
207,PLTD_ULD_Tumbang_Miwan,generator,113.8720,-1.2170
208,PLTD_ULD_Tumbang_Kaman,generator,113.0930,-1.3460
209,PLTD_ULD_Tumbang_Hiran,generator,112.6910,-1.1880
210,PLTD_ULD_Tumbang_Senamang,generator,112.4250,-1.1610
211,PLTD_ULD_Telaga,generator,113.3300,-2.4210
212,PLTD_Pagatan,generator,113.3300,-3.2560
213,PLTD_Telaga_Pulang,generator,112.2700,-2.8640
214,PLTD_Mendawai,generator,113.2690,-2.9890
215,PLTD_Pangkut,generator,111.9200,-2.1920
216,PLTD_Kenambui,generator,111.7920,-2.4760
217,PLTD_Rantau_Pulut,generator,112.1860,-2.0480
218,PLTD_Sukamandang,generator,112.1860,-2.0480
219,PLTD_Tumbang_Manjul,generator,111.9280,-1.3010
220,PLTD_Kuala_Jelai,generator,110.7390,-2.9850
221,PLTD_Balai_Riam,generator,111.1820,-2.9920
222,PLTD_Mentobi_Raya,generator,111.6940,-1.9860
223,PLTD_Kudangan,generator,111.0430,-1.6100
224,PLTD_Tapin_Bini,generator,111.3170,-1.8920
225,PLTBg_Maju_Aneka_Sawit,generator,112.5420,-2.3800
226,PLTBg_Sukajadi_Sawit_Mekar,generator,112.4550,-2.3990
227,PLTBg_Unggul_Lestari,generator,112.5980,-1.5960
228,PLTD_UPM_Parenggean,generator,112.6530,-1.8810
229,PLTBm_Korintiga_Hutani,generator,111.8240,-2.6070
230,PLTD_Gn._Batu_Besar,generator,116.2940,-2.6220
231,PLTD_Sei_Bali,generator,116.4070,-3.4080
232,PLTD_Semaras,generator,116.0820,-3.8230
233,PLTD_Lontar,generator,116.0640,-3.9780
234,PLTD_Kerasian,generator,116.2030,-4.0270
235,PLTD_Tanjung_Seloka,generator,116.3060,-3.9000
236,PLTD_Geronggang,generator,116.2070,-2.8570
237,PLTD_Tanjung_Batu,generator,116.2220,-3.0050
238,PLTD_Sampanahan,generator,116.1870,-2.6410
239,PLTD_Sei_Durian,generator,116.1620,-2.5090
240,PLTD_Sengayam,generator,115.9950,-2.3670
241,PLTD_Marabatuan,generator,115.8100,-4.3690
242,PLTD_Tanjung_Samalantakan,generator,116.4150,-2.5660
243,PLTD_Bakau,generator,116.1960,-2.4430
244,PLTD_Mulyaharja,generator,116.3220,-2.3500
