" ,node,type,lon,lat,p_nom, "
" ,PLTS_Sidding,generator,110.071,1.252,0.04, "
" ,PLTD_Temajuk,generator,109.602,1.997,0.75, "
" ,PLTMH_Serawak_Energi_BHD_Sajingan_(B),generator,109.68,1.609,0.8, "
" ,PLTD_Pulau_Limbung,generator,109.859,-0.268,0.44, "
" ,PLTS_Pulau_Limbung,generator,109.859,-0.268,0.06, "
" ,PLTD_Tanjung_Saleh,generator,109.148,-0.108,0.77, "
" ,PLTD_Sepuk_Laut,generator,109.078,-0.222,0.5, "
" ,PLTD_Ngabang,generator,109.864,0.386,1.72, "
" ,PLTD_Padang_Tikar,generator,109.272,0.682,3.375, "
" ,PLTD_Batu_Ampar,generator,109.537,0.749,0.576, "
" ,PLTBm_PT_Harjohn_Timber,generator,109.447,-0.179,5, "
" ,PLTD_Semboja,generator,110.56,0.135,6, "
" ,PLTD_Teraju,generator,110.104,-0.23,0.368, "
" ,PLTD_Kuala_Buayan,generator,110.382,0.106,1.574, "
" ,PLTD_Balai_Karangan,generator,110.828,0.435,4.69, "
" ,PLTD_Sekadau,generator,110.89,0.021,2.345, "
" ,PLTD_Belitang,generator,111.24,0.131,3.3, "
" ,PLTD_Balai_Sepuak,generator,111.206,0.442,0.996, "
" ,PLTD_Menyurai,generator,111.511,0.086,12.21, "
" ,PLTD_Nanga_Silat,generator,111.788,0.343,0.748, "
" ,PLTD_Senaning,generator,111.032,0.908,0.488, "
" ,PLTD_Nanga_Merakai,generator,111.517,0.688,0.6, "
" ,PLTD_Ketungau,generator,111.62,0.357,0.213, "
" ,PLTD_Tebidah,generator,112.184,0.252,0.36, "
" ,PLTD_Sinar_Pekayau,generator,111.082,0.333,0.505, "
" ,PLTD_Nanga_Lebang,generator,111.644,0.218,0.218, "
" ,PLTD_Sidomulyo_Pinoh,generator,111.707,-0.342,0.576, "
" ,PLTD_Kota_Baru,generator,111.542,-0.8,0.331, "
" ,PLTD_Serawai,generator,112.439,-0.331,1.896, "
" ,PLTD_Manukung,generator,112.227,-0.418,0.232, "
" ,PLTD_Nanga_Ella,generator,112.003,-0.398,1.445, "
" ,PLTD_Nanga_Sayan,generator,111.676,-0.714,1.029, "
" ,PLTD_Bora,generator,111.764,-0.628,1.078, "
" ,PLTMH_Bora,generator,111.775,-0.633,0.2, "
" ,PLTD_Tontang,generator,112.223,-0.269,0.216, "
" ,PLTD_Kalan,generator,111.741,-0.336,0.17, "
" ,PLTD_Kayan,generator,111.69,-0.172,0.337, "
