nodeA,nodeB,bus0,bus1,voltage,cables,wires,frequency,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,lon0,lat0,lon1,lat1,wkt_srid_4326
GI_Bandara,GI_Cempaka,30,28,150,3,2,50,10746,0.08,0.32,11.5,1.3,114.7553,-3.4725,114.8499,-3.4658,"'SRID=4326;LINESTRING(114.7553 -3.4725,114.8499 -3.4658)'"
GI_Cempaka,GI_Rantau,28,31,150,3,2,50,60632,0.08,0.32,11.5,1.3,114.8499,-3.4658,115.126,-3.0289,"'SRID=4326;LINESTRING(114.8499 -3.4658,115.126 -3.0289)'"
GI_Rantau,GI_Barikin,31,32,150,3,2,50,46202,0.08,0.32,11.5,1.3,115.126,-3.0289,115.3276,-2.6843,"'SRID=4326;LINESTRING(115.126 -3.0289,115.3276 -2.6843)'"
GI_Seberang_Barito,GI_Kayutangi,22,33,150,3,2,50,18645,0.08,0.32,11.5,1.3,114.5522,-3.2767,114.6205,-3.2304,"'SRID=4326;LINESTRING(114.5522 -3.2767,114.6205 -3.2304)'"
GI_Kayutangi,GI_Barikin,33,32,150,3,2,50,105161,0.08,0.32,11.5,1.3,114.6205,-3.2304,115.3276,-2.6843,"'SRID=4326;LINESTRING(114.6205 -3.2304,115.3276 -2.6843)'"
GI_Barikin,GI_Amuntai,32,34,150,3,2,50,30461,0.08,0.32,11.5,1.3,115.3276,-2.6843,115.2949,-2.4171,"'SRID=4326;LINESTRING(115.3276 -2.6843,115.2949 -2.4171)'"
GI_Barikin,GI_Tanjung,32,35,150,3,2,50,59659,0.08,0.32,11.5,1.3,115.3276,-2.6843,115.4505,-2.1953,"'SRID=4326;LINESTRING(115.3276 -2.6843,115.4505 -2.1953)'"
GI_Tanjung,GI_Buntok,35,36,150,3,2,50,79010,0.08,0.32,11.5,1.3,115.4505,-2.1953,114.9788,-1.7459,"'SRID=4326;LINESTRING(115.4505 -2.1953,114.9788 -1.7459)'"
GI_Buntok,GI_Muara_Teweh,36,37,150,3,2,50,118070,0.08,0.32,11.5,1.3,114.9788,-1.7459,114.8658,-0.8672,"'SRID=4326;LINESTRING(114.9788 -1.7459,114.8658 -0.8672)'"
GI_Muara_Teweh,GI_Bangkanai,37,38,150,3,2,50,43641,0.08,0.32,11.5,1.3,114.8658,-0.8672,115.1385,-0.6212,"'SRID=4326;LINESTRING(114.8658 -0.8672,115.1385 -0.6212)'"
GI_Tanjung,GI_Muara_Komam,38,39,150,3,2,50,94666,0.08,0.32,11.5,1.3,115.4505,-2.1953,115.8694,-1.828,"'SRID=4326;LINESTRING(115.1385 -0.6212,115.8694 -1.828)'"
GI_Muara_Komam,GI_Kuaro,39,40,150,3,2,50,27589,0.08,0.32,11.5,1.3,115.8694,-1.828,116.0945,-1.8032,"'SRID=4326;LINESTRING(115.8694 -1.828,116.0945 -1.8032)'"
GI_Kuaro,GI_Grogot,40,41,150,3,2,50,14658,0.08,0.32,11.5,1.3,116.0945,-1.8032,116.1656,-1.8984,"'SRID=4326;LINESTRING(116.0945 -1.8032,116.1656 -1.8984)'"
GI_Kuaro,GI_Longikis,40,42,150,3,2,50,44832,0.08,0.32,11.5,1.3,116.0945,-1.8032,116.3231,-1.5161,"'SRID=4326;LINESTRING(116.0945 -1.8032,116.3231 -1.5161)'"
GI_Longikis,GI_Petung,42,43,150,3,2,50,44514,0.08,0.32,11.5,1.3,116.3231,-1.5161,116.6719,-1.3408,"'SRID=4326;LINESTRING(116.3231 -1.5161,116.6719 -1.3408)'"
GI_Petung,GI_Kariangau,43,44,150,3,2,50,48163,0.08,0.32,11.5,1.3,116.6719,-1.3408,116.792,-1.1657,"'SRID=4326;LINESTRING(116.6719 -1.3408,116.792 -1.1657)'"
GI_Kariangau,GI_Karangjoang,44,45,150,3,2,50,11473,0.08,0.32,11.5,1.3,116.792,-1.1657,116.8777,-1.1488,"'SRID=4326;LINESTRING(116.792 -1.1657,116.8777 -1.1488)'"
GI_Karangjoang,GI_Manggar_Sari,45,46,150,3,2,50,13749,0.08,0.32,11.5,1.3,116.8777,-1.1488,116.9488,-1.2383,"'SRID=4326;LINESTRING(116.8777 -1.1488,116.9488 -1.2383)'"
GI_Manggar_Sari,GI_Industri,46,47,150,3,2,50,13615,0.08,0.32,11.5,1.3,116.9488,-1.2383,116.8411,-1.262,"'SRID=4326;LINESTRING(116.9488 -1.2383,116.8411 -1.262)'"
GI_Manggar_Sari,GI_Senipah,46,48,150,3,2,50,42687,0.08,0.32,11.5,1.3,116.9488,-1.2383,117.135,-0.9869,"'SRID=4326;LINESTRING(116.9488 -1.2383,117.135 -0.9869)'"
GI_Karangjoang,GI_Harapan_Baru,45,49,150,3,2,50,75274,0.08,0.32,11.5,1.3,116.8777,-1.1488,117.1063,-0.547,"'SRID=4326;LINESTRING(116.8777 -1.1488,117.1063 -0.547)'"
GI_Harapan_Baru,GI_Tengkawang,49,50,150,3,2,50,8310,0.08,0.32,11.5,1.3,117.1063,-0.547,117.1136,-0.5024,"'SRID=4326;LINESTRING(117.1063 -0.547,117.1136 -0.5024)'"
GI_Tengkawang,GI_Embalut,50,51,150,3,2,50,15935,0.08,0.32,11.5,1.3,117.1136,-0.5024,117.0518,-0.3816,"'SRID=4326;LINESTRING(117.1136 -0.5024,117.0518 -0.3816)'"
GI_Embalut,GI_Bukit_Biru,51,52,150,3,2,50,20491,0.08,0.32,11.5,1.3,117.0518,-0.3816,116.978,-0.456,"'SRID=4326;LINESTRING(117.0518 -0.3816,116.978 -0.456)'"
GI_Bukit_Biru,GI_Kotabangun,52,53,150,3,2,50,53727,0.08,0.32,11.5,1.3,116.978,-0.456,116.5953,-0.2716,"'SRID=4326;LINESTRING(116.978 -0.456,116.5953 -0.2716)'"
GI_Harapan_Baru,GI_Bukuan,49,54,150,3,2,50,10867,0.08,0.32,11.5,1.3,117.1063,-0.547,117.193,-0.5832,"'SRID=4326;LINESTRING(117.1063 -0.547,117.193 -0.5832)'"
GI_Bukuan,GI_Muara_Jawa,54,55,150,3,2,50,28882,0.08,0.32,11.5,1.3,117.193,-0.5832,117.1886,-0.7806,"'SRID=4326;LINESTRING(117.193 -0.5832,117.1886 -0.7806)'"
GI_Bukuan,GI_Sambutan,54,56,150,3,2,50,7177,0.08,0.32,11.5,1.3,117.193,-0.5832,117.2139,-0.5242,"'SRID=4326;LINESTRING(117.193 -0.5832,117.2139 -0.5242)'"
GI_Sambutan,GI_Muara_Badak,56,57,150,3,2,50,27134,0.08,0.32,11.5,1.3,117.2139,-0.5242,117.2925,-0.316,"'SRID=4326;LINESTRING(117.2139 -0.5242,117.2925 -0.316)'"
GI_Muara_Badak,GI_Teluk_Pandan,57,58,150,3,2,50,57500,0.08,0.32,11.5,1.3,117.2925,-0.316,117.435,0.1614,"'SRID=4326;LINESTRING(117.2925 -0.316,117.435 0.1614)'"
GI_Teluk_Pandan,GI_Sangatta,58,59,150,3,2,50,42347,0.08,0.32,11.5,1.3,117.435,0.1614,117.5693,0.4701,"'SRID=4326;LINESTRING(117.435 0.1614,117.5693 0.4701)'"
GI_Malinau,GI_Tideng_Pale,60,61,150,3,2,50,28625,0.08,0.32,11.5,1.3,116.6286,3.5114,116.8411,3.5748,"'SRID=4326;LINESTRING(116.6286 3.5114,116.8411 3.5748)'"
PLTD Trisakti,,,,,,,,,,,,,114.572,-3.31,,,
PLTD Kuala Kapuas,,,,,,,,,,,,,114.374,-3.012,,,
PLTD Barabai,,,,,,,,,,,,,115.376,-2.593,,,
PLTD Panangkalaan,,,,,,,,,,,,,115.262,-2.404,,,
PLTD Tanjung,,,,,,,,,,,,,115.931,-2.183,,,
PLTD Maburai,,,,,,,,,,,,,115.45,-2.195,,,
PLTA IR. PM Noor,,,,,,,,,,,,,115.008,-3.516,,,
PLTD Asam Asam,,,,,,,,,,,,,115.105,-3.925,,,
PLTD Karang Asam,,,,,,,,,,,,,117.114,-0.502,,,
PLTD Bontang,,,,,,,,,,,,,117.459,0.145,,,
PLTD Kledang,,,,,,,,,,,,,117.122,-0.523,,,
PLTU Mangkujenang,,,,,,,,,,,,,117.156,-0.539,,,
PLTD Tanah Grogot,,,,,,,,,,,,,116.18,-1.888,,,
PLTD Petung,,,,,,,,,,,,,116.67,-1.342,,,
PLTD Batu Sopang,,,,,,,,,,,,,115.912,-1.82,,,
PLTD Long Ikis,,,,,,,,,,,,,116.187,-1.6,,,
PLTD Gunung Malang,,,,,,,,,,,,,116.841,-1.263,,,
PLTD Batakan Unit,,,,,,,,,,,,,116.951,-1.238,,,
PLTD Cogindo (MFO),,,,,,,,,,,,,116.951,-1.238,,,
PLTD CDE Karang Joang (MFO),,,,,,,,,,,,,116.878,-1.149,,,
PLTD Muara Komam,,,,,,,,,,,,,115.812,-1.675,,,
PLTD Kerang,,,,,,,,,,,,,116.082,-2.239,,,
PLTD Tanjung Aru,,,,,,,,,,,,,116.584,-2.175,,,
PLTD Jenebora/Gresik,,,,,,,,,,,,,116.735,-1.186,,,
PLTD Siantan,,,,,,,,,,,,,109.327,-0.002,,,
PLTD Sei Raya,,,,,,,,,,,,,109.38,-0.072,,,
PLTD Sudirman,,,,,,,,,,,,,108.998,0.911,,,
PLTD Sei Wie,,,,,,,,,,,,,108.987,0.926,,,
PLTBm PT. Rezeki,,,,,,,,,,,,,109.286,0.011,,,
PLTD Sewatama Sera I&II,,,,,,,,,,,,,109.381,-0.073,,,
PLTD Sewa Ake,,,,,,,,,,,,,109.328,-0.001,,,
PLTD Artiduta,,,,,,,,,,,,,109.38,-0.074,,,
PLTD Sewatama Sera III,,,,,,,,,,,,,109.381,-0.073,,,
PLTD Bugak Berawang,,,,,,,,,,,,,109.203,0.061,,,
PLTA SESCO 275,,,,,,,,,,,,,110.35,1.354,,,
PLTD Muara Bengkal,,,,,,,,,,,,,116.674,0.437,,,
PLTD Muara Wahau,,,,,,,,,,,,,116.843,1.045,,,
PLTD Sepaso,,,,,,,,,,,,,117.561,0.756,,,
PLTD Sepaso Pemkab,,,,,,,,,,,,,117.561,0.756,,,
PLTD Sepaso KPC,,,,,,,,,,,,,117.561,0.756,,,
PLTD Sepaso Altrak,,,,,,,,,,,,,117.561,0.756,,,
PLTD Sangkulirang,,,,,,,,,,,,,117.98,0.986,,,
PLTD Sangkulirang Pemkab,,,,,,,,,,,,,117.98,0.986,,,
PLTD Sewa Sentawar Pemkab Kubar,,,,,,,,,,,,,115.801,-0.242,,,
PLTD Sentawar,,,,,,,,,,,,,115.801,-0.242,,,
PLTD Melak,,,,,,,,,,,,,115.831,-0.212,,,
PLTD Sambaliung,,,,,,,,,,,,,117.511,2.158,,,
PLTD Malinau,,,,,,,,,,,,,116.611,3.541,,,
PLTD Selor,,,,,,,,,,,,,117.386,2.832,,,
PLTD Kahayan/Area Palangka Raya,,,,,,,,,,,,,113.874,-1.827,,,
PLTD Rayon Sampit,,,,,,,,,,,,,112.969,-2.516,,,
PLTD Pangkalan Bun,,,,,,,,,,,,,111.731,-2.73,,,
PLTD Rayon Nanga Bulik,,,,,,,,,,,,,111.469,-2.187,,,
PLTD Sewa PGL Pangkalan Bun,,,,,,,,,,,,,111.731,-2.73,,,
PLTD Sewa Kaltimex Pangkalan Bun,,,,,,,,,,,,,111.731,-2.73,,,
PLTD Sewa UPM Pangkalan Banteng,,,,,,,,,,,,,111.824,-2.607,,,
PLTD Sewa Kaltimex Sampit,,,,,,,,,,,,,112.97,-2.516,,,
PLTD Kotabaru,,,,,,,,,,,,,116.212,-3.254,,,
PLTBm Kotawaringin Barat,,,,,,,,,,,,,111.967,-2.052,,,
PLTD Kumai,,,,,,,,,,,,,111.728,-2.725,,,
PLTD Muara Teweh,,,,,,,,,,,,,114.883,-0.926,,,
PLTD Puruk Cahu,,,,,,,,,,,,,114.583,-0.583,,,
PLTD Buntok,,,,,,,,,,,,,114.822,-1.745,,,
PLTD Sukaharja,,,,,,,,,,,,,109.977,-1.802,,,
PLTD Kendawangan Kanan,,,,,,,,,,,,,110.207,-2.532,,,
PLTD Air Hitam,,,,,,,,,,,,,110.625,-2.793,,,
PLTD Tanjung Satai,,,,,,,,,,,,,109.682,-1.208,,,
PLTD Dusun Besar,,,,,,,,,,,,,109.461,-1.11,,,
PLTD Sandai,,,,,,,,,,,,,110.524,-1.234,,,
PLTD Balai Bekuak,,,,,,,,,,,,,110.369,-0.522,,,
PLTD Aur Kuning,,,,,,,,,,,,,110.486,-0.954,,,
PLTD Ulak Medang,,,,,,,,,,,,,110.29,-1.678,,,
PLTD Sampurna,,,,,,,,,,,,,110.455,-1.184,,,
PLTD Tumbang Titi,,,,,,,,,,,,,110.611,-1.846,,,
PLTD Manis Mata,,,,,,,,,,,,,111.028,-2.448,,,
PLTD Marau,,,,,,,,,,,,,110.708,-2.125,,,
PLTMH Batu Menang,,,,,,,,,,,,,110.959,-1.984,,,
PLTD Nanga Tayap,,,,,,,,,,,,,110.563,-1.516,,,
PLTD Teluk Melano,,,,,,,,,,,,,109.951,-1.135,,,
PLTD Air Upas,,,,,,,,,,,,,110.8,-2.303,,,
PLTBm PT Alas Kusuma,,,,,,,,,,,,,109.972,-1.782,,,
PLTD PT. Sewatama Ketapang,,,,,,,,,,,,,109.977,-1.802,,,
PLTD PT. Sewatama Ketapang 1,,,,,,,,,,,,,109.977,-1.802,,,
PLTD PT. Koperasi Induk PLN KTP,,,,,,,,,,,,,109.977,-1.802,,,
PLTD PT. Krista Nanga Tayap,,,,,,,,,,,,,110.563,-1.516,,,
PLTD PT. Tan Energi Marau,,,,,,,,,,,,,110.708,-2.125,,,
PLTD PT. Aggreko Nanga Tayap,,,,,,,,,,,,,110.572,-1.567,,,
PLTD Sambas,,,,,,,,,,,,,109.296,1.36,,,
PLTMH Sajingan,,,,,,,,,,,,,109.643,1.62,,,
PLTD Sentebang,,,,,,,,,,,,,109.046,1.312,,,
PLTD Bengkayang,,,,,,,,,,,,,109.477,0.819,,,
