" ,node,type,node1,lon,lat,length_m, "
" ,PLTD_Muara_Komam,generator,,115.812,-1.675,, "
" ,PLTD_Kerang,generator,,116.082,-2.239,, "
" ,PLTD_Tanjung_Aru,generator,,116.584,-2.175,, "
" ,PLTD_Jenebora/Gresik,generator,,116.735,-1.186,, "
" ,PLTD_Siantan,generator,,109.327,-0.002,, "
" ,PLTD_Sei_Raya,generator,,109.38,-0.072,, "
" ,PLTD_Sudirman,generator,,108.998,0.911,, "
" ,PLTD_Sei_Wie,generator,,108.987,0.926,, "
" ,PLTBm_PT._Rezeki,generator,,109.286,0.011,, "
" ,PLTD_Sewa_Ake,generator,,109.328,-0.001,, "
" ,PLTD_Artiduta,generator,,109.38,-0.074,, "
" ,PLTD_Bugak_Berawang,generator,,109.203,0.061,, "
" ,PLTA_SESCO_275,generator,,110.35,1.354,, "
" ,PLTD_Muara_Bengkal,generator,,116.674,0.437,, "
" ,PLTD_Muara_Wahau,generator,,116.843,1.045,, "
" ,PLTD_Sepaso,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_Pemkab,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_KPC,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_Altrak,generator,,117.561,0.756,, "
" ,PLTD_Sangkulirang,generator,,117.98,0.986,, "
" ,PLTD_Sangkulirang_Pemkab,generator,,117.98,0.986,, "
" ,PLTD_Sewa_Sentawar_Pemkab_Kubar,generator,,115.801,-0.242,, "
" ,PLTD_Sentawar,generator,,115.801,-0.242,, "
" ,PLTD_Melak,generator,,115.831,-0.212,, "
" ,PLTD_Sambaliung,generator,,117.511,2.158,, "
" ,PLTD_Malinau,generator,,116.611,3.541,, "
" ,PLTD_Selor,generator,,117.386,2.832,, "
" ,PLTD_Kahayan/Area_Palangka_Raya,generator,,113.874,-1.827,, "
" ,PLTD_Rayon_Sampit,generator,,112.969,-2.516,, "
" ,PLTD_Pangkalan_Bun,generator,,111.731,-2.73,, "
" ,PLTD_Rayon_Nanga_Bulik,generator,,111.469,-2.187,, "
" ,PLTD_Sewa_PGL_Pangkalan_Bun,generator,,111.731,-2.73,, "
" ,PLTD_Sewa_Kaltimex_Pangkalan_Bun,generator,,111.731,-2.73,, "
" ,PLTD_Sewa_UPM_Pangkalan_Banteng,generator,,111.824,-2.607,, "
" ,PLTD_Sewa_Kaltimex_Sampit,generator,,112.97,-2.516,, "
" ,PLTD_Kotabaru,generator,,116.212,-3.254,, "
" ,PLTBm_Kotawaringin_Barat,generator,,111.967,-2.052,, "
" ,PLTD_Kumai,generator,,111.728,-2.725,, "
" ,PLTD_Muara_Teweh,generator,,114.883,-0.926,, "
" ,PLTD_Puruk_Cahu,generator,,114.583,-0.583,, "
" ,PLTD_Buntok,generator,,114.822,-1.745,, "
" ,PLTD_Sukaharja,generator,,109.977,-1.802,, "
" ,PLTD_Kendawangan_Kanan,generator,,110.207,-2.532,, "
" ,PLTD_Air_Hitam,generator,,110.625,-2.793,, "
" ,PLTD_Tanjung_Satai,generator,,109.682,-1.208,, "
" ,PLTD_Dusun_Besar,generator,,109.461,-1.11,, "
" ,PLTD_Sandai,generator,,110.524,-1.234,, "
" ,PLTD_Balai_Bekuak,generator,,110.369,-0.522,, "
" ,PLTD_Aur_Kuning,generator,,110.486,-0.954,, "
" ,PLTD_Ulak_Medang,generator,,110.29,-1.678,, "
" ,PLTD_Sampurna,generator,,110.455,-1.184,, "
" ,PLTD_Tumbang_Titi,generator,,110.611,-1.846,, "
" ,PLTD_Manis_Mata,generator,,111.028,-2.448,, "
" ,PLTD_Marau,generator,,110.708,-2.125,, "
" ,PLTMH_Batu_Menang,generator,,110.959,-1.984,, "
" ,PLTD_Nanga_Tayap,generator,,110.563,-1.516,, "
" ,PLTD_Teluk_Melano,generator,,109.951,-1.135,, "
" ,PLTD_Air_Upas,generator,,110.8,-2.303,, "
" ,PLTBm_PT_Alas_Kusuma,generator,,109.972,-1.782,, "
" ,PLTD_PT._Sewatama_Ketapang_1,generator,,109.977,-1.802,, "
" ,PLTD_PT._Koperasi_Induk_PLN_KTP,generator,,109.977,-1.802,, "
" ,PLTD_PT._Tan_Energi_Marau,generator,,110.708,-2.125,, "
" ,PLTD_PT._Aggreko_Nanga_Tayap,generator,,110.572,-1.567,, "
" ,PLTD_Sambas,generator,,109.296,1.36,, "
" ,PLTMH_Sajingan,generator,,109.643,1.62,, "
" ,PLTD_Bengkayang,generator,,109.477,0.819,, "
" ,PLTMH_Merasap,generator,,109.744,1.124,, "
" ,PLTD_Cempaka_Putih,generator,,110.057,1.073,, "
" ,PLTD_Lemukutan,generator,,108.712,0.76,, "
" ,PLTD_Area_Singkawang,generator,,108.98,0.912,, "
" ,PLTS_Temajuk,generator,,109.597,2.007,, "
" ,PLTS_Sidding,generator,,110.071,1.252,, "
" ,PLTD_Temajuk,generator,,109.602,1.997,, "
" ,PLTMH_Serawak_Energi_BHD_Sajingan_(B),generator,,109.68,1.609,, "
" ,PLTD_Pulau_Limbung,generator,,109.859,-0.268,, "
" ,PLTS_Pulau_Limbung,generator,,109.859,-0.268,, "
" ,PLTD_Tanjung_Saleh,generator,,109.148,-0.108,, "
" ,PLTD_Sepuk_Laut,generator,,109.078,-0.222,, "
" ,PLTD_Ngabang,generator,,109.864,0.386,, "
" ,PLTD_Padang_Tikar,generator,,109.272,0.682,, "
" ,PLTD_Batu_Ampar,generator,,109.537,0.749,, "
" ,PLTBm_PT_Harjohn_Timber,generator,,109.447,-0.179,, "
" ,PLTD_Semboja,generator,,110.56,0.135,, "
" ,PLTD_Teraju,generator,,110.104,-0.23,, "
" ,PLTD_Kuala_Buayan,generator,,110.382,0.106,, "
" ,PLTD_Balai_Karangan,generator,,110.828,0.435,, "
" ,PLTD_Sekadau,generator,,110.89,0.021,, "
" ,PLTD_Belitang,generator,,111.24,0.131,, "
" ,PLTD_Balai_Sepuak,generator,,111.206,0.442,, "
" ,PLTD_Menyurai,generator,,111.511,0.086,, "
" ,PLTD_Nanga_Silat,generator,,111.788,0.343,, "
" ,PLTD_Senaning,generator,,111.032,0.908,, "
" ,PLTD_Nanga_Merakai,generator,,111.517,0.688,, "
" ,PLTD_Ketungau,generator,,111.62,0.357,, "
" ,PLTD_Tebidah,generator,,112.184,0.252,, "
" ,PLTD_Sinar_Pekayau,generator,,111.082,0.333,, "
" ,PLTD_Nanga_Lebang,generator,,111.644,0.218,, "
" ,PLTD_Sidomulyo_Pinoh,generator,,111.707,-0.342,, "
" ,PLTD_Kota_Baru,generator,,111.542,-0.8,, "
" ,PLTD_Serawai,generator,,112.439,-0.331,, "
" ,PLTD_Manukung,generator,,112.227,-0.418,, "
" ,PLTD_Nanga_Ella,generator,,112.003,-0.398,, "
" ,PLTD_Nanga_Sayan,generator,,111.676,-0.714,, "
" ,PLTD_Bora,generator,,111.764,-0.628,, "
" ,PLTMH_Bora,generator,,111.775,-0.633,, "
" ,PLTD_Tontang,generator,,112.223,-0.269,, "
" ,PLTD_Kalan,generator,,111.741,-0.336,, "
" ,PLTD_Kayan,generator,,111.69,-0.172,, "
" ,PLTD_Kemangai,generator,,112.71,-0.243,, "
" ,PLTD_Sawai,generator,,112.927,0.885,, "
" ,PLTD_Semitau,generator,,111.96,0.543,, "
" ,PLTD_Bunut,generator,,112.655,0.528,, "
" ,PLTD_Jongkong,generator,,112.278,0.665,, "
" ,PLTD_Embaloh,generator,,112.602,0.831,, "
" ,PLTD_Lanjak,generator,,112.238,1.034,, "
" ,PLTD_Tepuai,generator,,112.303,0.37,, "
" ,PLTD_Seberuang,generator,,111.888,0.465,, "
" ,PLTD_Nanga_Erak,generator,,113.154,0.372,, "
" ,PLTD_Belikai,generator,,112.137,0.33,, "
" ,PLTD_Kantuk,generator,,110.607,0.124,, "
" ,PLTD_Piasak,generator,,112.723,0.659,, "
" ,PLTD_Nibung,generator,,112.178,0.334,, "
" ,PLTD_Ujung_Said,generator,,112.378,0.67,, "
" ,PLTD_Pulau_Majang,generator,,111.994,0.901,, "
" ,PLTD_Ulak_Pauk,generator,,112.491,1.062,, "
" ,PLTD_Badau,generator,,111.903,1.044,, "
" ,PLTD_Jasa,generator,,111.148,1.004,, "
" ,PLTMH_Serawak_Energi_BHD_Badau_(B),generator,,111.872,1.033,, "
" ,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),generator,,110.355,0.988,, "
" ,PLTD_Sewatama_Semboja,generator,,110.56,0.135,, "
" ,PLTD_Aggreko_Semboja,generator,,110.56,0.134,, "
" ,PLTD_ENSAS_Sekadau,generator,,110.89,0.021,, "
" ,PLTD_Aggreko_Menyurai,generator,,111.511,0.085,, "
" ,PLTD_Sewatama_Pinoh,generator,,111.707,-0.342,, "
" ,PLTD_Makro_SPE_Pinoh,generator,,111.707,-0.342,, "
" ,PLTD_Makro_SPE_Balai_Karanga,generator,,110.828,0.435,, "
" ,PLTD_Makro_SPE_Kota_Baru,generator,,111.542,0.8,, "
" ,PLTD_Makro_Sintang,generator,,111.511,0.085,, "
" ,PLTD_ULD_Benua_Riam,generator,,115.226,-3.094,, "
" ,PLTD_ULD_Rantau_Bujur,generator,,115.199,-3.082,, "
" ,PLTD_ULD_Tumbang_Jutuh,generator,,113.572,-1.289,, "
" ,PLTD_ULD_Tumbang_Talaken,generator,,113.378,-1.361,, "
" ,PLTD_ULD_Tewah,generator,,112.122,-1.936,, "
" ,PLTD_ULD_Tumbang_Miri,generator,,113.55,-0.916,, "
" ,PLTD_ULD_Tumbang_Tambirah,generator,,113.823,-1.065,, "
" ,PLTD_ULD_Tumbang_Miwan,generator,,113.872,-1.217,, "
" ,PLTD_ULD_Tumbang_Kaman,generator,,113.093,-1.346,, "
" ,PLTD_ULD_Tumbang_Hiran,generator,,112.691,-1.188,, "
" ,PLTD_ULD_Tumbang_Senamang,generator,,112.425,-1.161,, "
" ,PLTD_ULD_Telaga,generator,,113.33,-2.421,, "
" ,PLTD_Pagatan,generator,,113.33,-3.256,, "
" ,PLTD_Telaga_Pulang,generator,,112.27,-2.864,, "
" ,PLTD_Mendawai,generator,,113.269,-2.989,, "
" ,PLTD_Pangkut,generator,,111.92,-2.192,, "
" ,PLTD_Kenambui,generator,,111.792,-2.476,, "
" ,PLTD_Rantau_Pulut,generator,,112.186,-2.048,, "
" ,PLTD_Sukamandang,generator,,112.186,-2.048,, "
" ,PLTD_Tumbang_Manjul,generator,,111.928,-1.301,, "
" ,PLTD_Kuala_Jelai,generator,,110.739,-2.985,, "
" ,PLTD_Balai_Riam,generator,,111.182,-2.992,, "
" ,PLTD_Mentobi_Raya,generator,,111.694,-1.986,, "
" ,PLTD_Kudangan,generator,,111.043,-1.61,, "
" ,PLTD_Tapin_Bini,generator,,111.317,-1.892,, "
" ,PLTBg_Maju_Aneka_Sawit,generator,,112.542,-2.38,, "
" ,PLTBg_Sukajadi_Sawit_Mekar,generator,,112.455,-2.399,, "
" ,PLTBg_Unggul_Lestari,generator,,112.598,-1.596,, "
" ,PLTD_UPM_Parenggean,generator,,112.653,-1.881,, "
" ,PLTBm_Korintiga_Hutani,generator,,111.824,-2.607,, "
" ,PLTD_Gn._Batu_Besar,generator,,116.294,-2.622,, "
" ,PLTD_Sei_Bali,generator,,116.407,-3.408,, "
" ,PLTD_Semaras,generator,,116.082,-3.823,, "
" ,PLTD_Lontar,generator,,116.064,-3.978,, "
" ,PLTD_Kerasian,generator,,116.203,-4.027,, "
" ,PLTD_Tanjung_Seloka,generator,,116.306,-3.9,, "
" ,PLTD_Geronggang,generator,,116.207,-2.857,, "
" ,PLTD_Tanjung_Batu,generator,,116.222,-3.005,, "
" ,PLTD_Sampanahan,generator,,116.187,-2.641,, "
" ,PLTD_Sei_Durian,generator,,116.162,-2.509,, "
" ,PLTD_Sengayam,generator,,115.995,-2.367,, "
" ,PLTD_Marabatuan,generator,,115.81,-4.369,, "
" ,PLTD_Tanjung_Samalantakan,generator,,116.415,-2.566,, "
" ,PLTD_Bakau,generator,,116.196,-2.443,, "
" ,PLTD_Mulyaharja,generator,,116.322,-2.35,, "
" ,PLTD_Kerayaan,generator,,116.207,-4.091,, "
" ,PLTD_Kerumputan,generator,,116.172,-4.049,, "
" ,PLTD_Sewa_Kaltimex_Kotabaru,generator,,116.212,-3.254,, "
" ,PLTD_Timpah,generator,,114.479,-1.719,, "
" ,PLTD_Sebangau,generator,,113.639,-3.148,, "
" ,PLTD_Pujon,generator,,114.364,-1.349,, "
" ,PLTD_Sungai_Hanyu,generator,,114.016,-0.927,, "
" ,PLTD_Pendang,generator,,114.874,-1.506,, "
" ,PLTD_Tanjung_Jawa,generator,,114.835,-1.565,, "
" ,PLTD_Muara_Plantau,generator,,115.001,-1.939,, "
" ,PLTD_Bundar,generator,,114.93,-1.478,, "
" ,PLTD_Merawan_Lama,generator,,114.884,-1.451,, "
" ,PLTD_Babai,generator,,114.836,-1.954,, "
" ,PLTD_Mangkatip,generator,,114.851,-2.224,, "
" ,PLTD_Teluk_Betung,generator,,114.863,-1.978,, "
" ,PLTD_Rangga_Ilung,generator,,114.871,-2.34,, "
" ,PLTD_Damparan,generator,,114.868,-2.138,, "
" ,PLTD_Benangin,generator,,115.088,-0.978,, "
" ,PLTD_Tumpung_Laung,generator,,114.816,-1.321,, "
" ,PLTD_Luwe_Hulu,generator,,114.941,-0.795,, "
" ,PLTD_Montalat,generator,,114.894,-1.323,, "
" ,PLTD_Kandui,generator,,115.119,-1.257,, "
" ,PLTD_Sabuh,generator,,114.976,-0.971,, "
" ,PLTD_Muara_Laung,generator,,114.732,-0.599,, "
" ,PLTD_Tumbang_Lahung,generator,,114.302,-0.695,, "
" ,PLTD_PT._Kaltimex_Energy_(Puruk_Cahu),generator,,114.583,-0.583,, "
" ,PLTD_Karangan,generator,,117.673,1.35,, "
" ,PLTBm_Karangan_DL,generator,,117.673,1.35,, "
" ,PLTD_Pengadan,generator,,117.673,1.35,, "
" ,PLTD_Muara_Wahau_Altrak,generator,,116.843,1.045,, "
" ,PLTD_Batu_Ampar,generator,,116.831,0.679,, "
" ,PLTD_Senyiur,generator,,116.623,0.312,, "
" ,PLTD_Senyiur_Pemkab,generator,,116.623,0.312,, "
