" ,node,type,node1,lon,lat,length_m, "
" ,PLTU_Sintang_#02,generator,,111.434,0.074,, "
" ,PLTU_Sintang_#03,generator,,111.434,0.074,, "
" ,PLTU_Ketapang_#01,generator,,109.942,-1.782,, "
" ,PLTU_Ketapang_#02,generator,,109.942,-1.782,, "
" ,PLTMG_Kaltimex,generator,,117.053,-0.383,, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#01,generator,,116.74,-1.291,, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#02,generator,,116.74,-1.291,, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#03,generator,,116.74,-1.291,, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#04,generator,,116.74,-1.291,, "
" ,PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),generator,,115.57,-2.063,, "
" ,PLTU_Dua_Samudera_Perkasa_(DSP),generator,,116.029,-3.309,, "
" ,PLTU_Rimau_Electric,generator,,115.127,-2.018,, "
" ,PLTMG_Belimbing,generator,,117.451,0.166,, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#01,generator,,116.801,-1.199,, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#02,generator,,116.801,-1.199,, "
" ,PLTU_Senoni_#01,generator,,117.093,-0.543,, "
" ,PLTU_Senoni_#02,generator,,117.093,-0.544,, "
" ,PLTU_Rimba_Raya,generator,,117.035,-0.547,, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#01,generator,,117.189,-0.78,, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#02,generator,,117.189,-0.78,, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,generator,,115.442,-2.162,, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,generator,,115.443,-2.162,, "
" ,PLTG_Senipah_#01,generator,,117.135,-0.988,, "
" ,PLTG_Senipah_#02,generator,,117.136,-0.987,, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,generator,,117.062,-0.373,, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,generator,,117.062,-0.373,, "
" ,PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),generator,,117.063,-0.373,, "
" ,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),generator,,109.204,0.059,, "
" ,PLTD_Kuala_Kurun_#01_(MWM),generator,,113.873,-1.117,, "
" ,PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),generator,,113.873,-1.117,, "
" ,PLTD_Kuala_Kurun_#03_MITSUBISHI),generator,,113.872,-1.117,, "
" ,PLTD_Kuala_Kurun_#04_MITSUBISHI),generator,,113.872,-1.117,, "
" ,PLTD_Kuala_Kurun_#05_MITSUBISHI),generator,,113.872,-1.117,, "
" ,PLTD_Kuala_Pembuang_#01_(MWM),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),generator,,112.545,-3.39,, "
" ,PLTD_Sukamara_#03_(MWM),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#04_(DEUTZ),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#05_(DEUTZ_AG),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#06_(MTU),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#07_(MITSUBITSI),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#08_(MITSUBITSI),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#09_(MITSUBITSI),generator,,111.164,-2.717,, "
" ,PLTU_PT._Smart_Tarjun_Refinery,generator,,116.119,-3.271,, "
" ,PLTD_Sewa_UPM_Kuala_Kurun,generator,,113.872,-1.117,, "
" ,PLTD_Sewa_DKK_Kuala_Pembuang,generator,,112.545,-3.39,, "
" ,PLTD_DKK_Sukamara,generator,,111.164,-2.717,, "
" ,PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),generator,,111.703,-2.771,, "
" ,PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),generator,,112.545,-3.39,, "
" ,PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),generator,,112.545,-3.39,, "
" ,PLTD_Sukamara_#01_(MAN),generator,,111.164,-2.717,, "
" ,PLTD_Sukamara_#02_(MAN),generator,,111.164,-2.717,, "
" ,PLTU_Lati_(PT._Indo_Pusaka_Berau),generator,,117.619,2.215,, "
" ,PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor Mahakam,generator,,117.635,0.539,, "
" ,PLTMG_Gunung_Belah_#01,generator,,117.596,3.304,, "
" ,PLTMG_Gunung_Belah_#02,generator,,117.596,3.304,, "
" ,PLTMG_Bunyu_(PT._Prastiwahyu),generator,,117.845,3.475,, "
" ,PLTMG_Sw_Tanah_Merah_(KSO_PT._TAN_Energy),generator,,117.535,3.764,, "
" ,PLTMG_Nunukan_KSO_Bugak,generator,,117.64,4.133,, "
" ,PLTMG_Sw_Tarakan_(PT._PLN_Tarakan_-_PT._Atamora),generator,,117.596,3.304,, "
" ,PLTG_Sw_Tarakan_(PT._PLN_Tarakan_-_Perusda),generator,,117.596,3.304,, "
" ,PLTMG_Sw_Tarakan_II_(PT._PLN_Tarakan_-_PT._Max_Power),generator,,117.654,3.343,, "
" ,PLTMG_Sw_Tarakan_II_(PT._PLN_Tarakan_-_PT._Sewatama),generator,,117.654,3.343,, "
" ,PLTMG_Sw_Tarakan_I_(PT._PLN_Tarakan_-_PT._Max_Power),generator,,117.654,3.343,, "
" ,PLTMG_Sw_Tarakan_III_(PT._PLN_Tarakan_-_PT._Max_Power),generator,,117.654,3.343,, "
" ,PLTMG_Sw_Tarakan_IV_(PT._PLN_Tarakan_-_PT._Max_Power),generator,,117.654,3.343,, "
" ,PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),generator,,117.612,3.292,, "
" ,PLTU_PT._Indocement_Tunggal_Perkasa,generator,,116.108,-3.273,, "
" ,PLTU_PT._Makmur_Sejahtera_Wisesa,generator,,115.445,-2.158,, "
" ,PLTG_PLN_Tarakan_#01,generator,,117.596,3.303,, "
" ,PLTMG_PLN_Tarakan,generator,,117.596,3.303,, "
" ,PLTG_PLN_Tarakan_#02,generator,,117.596,3.304,, "
" ,PLTU_PT._Sumber_Alam_Sekurau_(SAS),generator,,117.521,2.794,, "
" ,PLTU_PT._Wijaya_Triutama_Plywood_Industri,generator,,114.562,-3.336,, "
" ,PLTU_PT._Kaltim_Daya_Mandiri,generator,,117.497,0.175,, "
" ,PLTU_PT._Kalimantan_Powerindo,generator,,116.837,-0.32,, "
" ,PLTU_Tembilok_(IPP_Ketapang)_#01,generator,,109.952,-1.782,, "
" ,PLTU_Tembilok_(IPP_Ketapang)_#02,generator,,109.952,-1.782,, "
" ,PLTU_Parit_Baru_Site_Bengkayang_#02,generator,,108.874,0.837,, "
" ,PLTMG_Tanjung_Selor_Unit_2,generator,,117.367,2.814,, "
" ,PLTU_Kaltim_(FTP2)_Unit_1,generator,,117.492,0.054,, "
" ,PLTU_Tanjung_Redep_/_Berau_#02,generator,,117.393,2.156,, "
" ,PLTU_Kaltim_(FTP2)_Unit_2,generator,,117.492,0.055,, "
" ,PLTMG_Tanjung_Selor_Unit_1,generator,,117.367,2.814,, "
" ,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,generator,,117.066,-0.364,, "
" ,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,generator,,117.066,-0.364,, "
" ,PLTU_Tanjung_Redep_/_Berau_#01,generator,,117.393,2.156,, "
" ,PLTBg_Suka_Damai,generator,,115.773,-3.341,, "
" ,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,generator,,113.567,-1.374,, "
" ,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,generator,,113.567,-1.374,, "
" ,PLTD_Kuala_Pembuang_Unit_7,generator,,112.545,-3.39,, "
" ,PLTU_Kalbar_1_Unit_1,generator,,108.846,0.815,, "
" ,PLTGU_Senipah_(ST),generator,,117.136,-0.987,, "
" ,PLTD_Kuala_Pembuang_Unit_9,generator,,112.545,-3.39,, "
" ,PLTU_Kalbar_1_Unit_2,generator,,108.846,0.816,, "
" ,PLTD_Kuala_Kurun_Unit_2-3,generator,,113.872,-1.117,, "
" ,PLTD_Kuala_Kurun_Unit_4,generator,,113.872,-1.117,, "
" ,PLTD_Gunung_Purei_Unit_123,generator,,115.62,-1.133,, "
" ,PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,generator,,111.503,-2.209,, "
" ,PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,generator,,111.502,-2.209,, "
" ,PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,generator,,111.211,-2.685,, "
